variable,domain,type,stat_label,question,overall,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,48.9304,60.1361,88.9089,32.5615,78.3789,72.2826,59.9299,21.6662,15.5509
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,45.6794,63.6007,94.3123,34.6172,85.0514,75.434,70.8522,11.6714,7.6704
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,75.2629,77.5991,87.0568,72.9322,78.8884,83.4249,89.9619,59.0949,53.2211
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,44.454,61.4132,86.9864,26.5249,71.3714,65.6888,49.3882,33.7039,11.9711
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,88.7817,67.2327,4.9293,95.241,31.6727,63.453,83.2917,96.8977,98.6686
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,44.5249,90.3056,76.5382,8.9909,94.3359,39.5961,67.4679,83.271,96.9976,98.0185
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,29.6793,77.0459,62.6317,4.3782,90.4664,26.8186,51.2673,69.4992,93.13,97.0091
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,85.0649,36.3858,50.0336,96.3562,25.9202,74.0844,70.3257,60.5973,10.0169,8.1938
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,19.5656,65.6536,50.8046,3.2241,74.3598,20.9991,38.5447,45.2285,87.6893,89.476
CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,67.4904,78.2704,61.4964,62.1408,90.4861,56.6433,77.1006,71.5926,69.0016,44.1319,36.8299
CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,50.2392,41.7546,55.0034,54.3716,34.7906,63.0486,40.223,51.2787,55.8466,52.8005,69.6332
