party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,81,66,18,165,22.92
1,Labor,66,45,11,122,16.94
4,Liberal,61,27,10,98,13.61
3,Nationalist,35,40,7,82,11.39
5,Populist,25,28,10,63,8.75
6,Civic Union Party,32,24,3,59,8.19
2,Solidarity,34,16,1,51,7.08
9,Progressive,24,12,3,39,5.42
8,DSA,17,6,1,24,3.33
7,Order and Opportunity Party,9,6,2,17,2.36
