party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,117,62,35,214,13.33
6,Civic Union Party,112,50,24,186,11.59
1,Labor,109,46,18,173,10.78
2,Solidarity,101,48,18,167,10.4
7,Order and Opportunity Party,102,43,22,167,10.4
5,Populist,97,46,23,166,10.34
3,Nationalist,83,52,27,162,10.09
4,Liberal,96,39,14,149,9.28
9,Progressive,90,28,4,122,7.6
8,DSA,66,26,7,99,6.17
