party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,82,66,22,170,23.68
1,Labor,72,47,11,130,18.11
4,Liberal,60,26,8,94,13.09
5,Populist,29,32,10,71,9.89
6,Civic Union Party,35,25,7,67,9.33
2,Solidarity,38,22,4,64,8.91
3,Nationalist,22,31,5,58,8.08
9,Progressive,19,7,1,27,3.76
8,DSA,15,4,1,20,2.79
7,Order and Opportunity Party,10,6,1,17,2.37
