party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,82,66,22,170,23.68
1,Labor,72,47,11,130,18.11
4,Liberal,59,27,8,94,13.09
5,Populist,28,32,10,70,9.75
6,Civic Union Party,35,24,7,66,9.19
2,Solidarity,38,22,4,64,8.91
3,Nationalist,23,31,4,58,8.08
9,Progressive,19,8,2,29,4.04
8,DSA,16,3,1,20,2.79
7,Order and Opportunity Party,10,6,1,17,2.37
