party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,109,72,28,209,23.94
1,Labor,98,53,20,171,19.59
5,Populist,60,46,15,121,13.86
4,Liberal,73,33,7,113,12.94
3,Nationalist,35,33,14,82,9.39
6,Civic Union Party,44,29,8,81,9.28
8,DSA,20,11,3,34,3.89
9,Progressive,24,7,3,34,3.89
7,Order and Opportunity Party,18,6,4,28,3.21
