variable,domain,type,stat_label,question,overall,CON,SD,STY,REF,CTR,LIB,CON/CTR,CON/SD,CON/STY,SD/STY,SD/CON,SD/CTR,SD/LIB,STY/REF,STY/SD,STY/CON,REF/STY,CON/REF,CON/NAT,LIB/CTR,REF/SD,CTR/LIB,PRG/DSA,cond_chamber,irv_chamber,cond_pure_chamber,irv_pure_chamber,cond_bloc1,cond_bloc2,cond_bloc3,cond_bloc4,irv_bloc1,irv_bloc2,irv_bloc3,irv_bloc4
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,12.34,13.08,4.14,8.19,15.35,5.0683,7.2608,7.338,12.5854,7.9505,10.265,13.845,9.057,12.71,9.0438,7.438,3.4776,2.4891,12.486,7.83,11.77,16.377,8.3694,8.1427,8.5639,8.6424,,6.2434,12.7918,12.245,2.8018,7.338,6.029,12.9223
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,4.75,3.49,1.58,0.89,6.79,0.9959,2.7039,2.0806,4.3322,2.9818,2.82,5.77,2.6305,4.12,2.4993,2.2846,1.2212,0.5896,4.43,3.0065,3.84,6.04,2.435,2.7594,2.2829,3.2178,,1.7605,3.9807,4.5983,0.799,2.0806,1.6579,5.0433
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.22,1.27,1.26,0.5,0.17,0.4439,0.3254,0.7712,0.5682,0.311,0.36,0.195,1.2655,0.745,0.9194,1.2637,0.6735,0.3659,0.302,0.792,0.335,0.268,0.434,0.3828,0.4202,0.3142,,0.456,0.8611,0.2392,0.4062,0.7712,0.3996,0.2504
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,82.7113,75.1003,12.3442,59.9703,98.3073,41.4389,53.6102,49.0753,80.1875,57.5621,71.3408,90.5093,46.8601,78.9058,56.8065,35.4949,24.6851,15.5156,82.9725,44.0094,79.1388,99.7939,59.3729,56.2859,61.0061,61.3451,,47.1878,78.0645,82.1159,21.1844,49.0753,46.8133,85.3485
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,72.2397,64.8119,89.1047,93.2013,75.3309,97.1164,87.3469,84.922,69.7766,85.2954,82.7205,73.7853,75.7437,68.5258,78.9479,80.1431,96.2668,99.7371,82.4791,81.5154,84.2661,33.9403,86.3655,86.409,87.0508,85.854,,91.7108,67.7048,74.2441,99.3637,84.922,93.1761,73.8714
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,98.3844,86.6809,27.6665,72.2816,99.9717,60.2692,73.2205,67.1478,94.5035,76.6377,85.333,99.178,60.1244,92.5326,72.9505,49.4369,45.1488,27.1698,88.8957,59.4896,86.1266,100.0,75.7672,71.2866,76.5304,77.49,,66.0609,91.239,96.3414,37.2792,67.1478,65.7254,97.1598
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,79.6209,70.5324,30.2371,47.291,82.7126,33.8423,49.7259,44.534,76.6072,53.7856,63.456,81.1668,52.3995,75.0767,52.2573,45.102,27.1117,15.7022,68.544,52.4598,65.0018,94.3143,52.7469,50.9293,53.3273,54.8856,,41.2853,74.0721,77.1844,19.9881,44.534,40.4901,78.5421
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,39.458,39.6282,87.0888,82.0974,29.4301,93.1337,72.9228,74.5332,39.5144,68.3783,60.7777,34.444,60.9855,39.5431,64.164,69.5806,95.8659,99.9027,50.497,65.6549,55.7638,0.0902,70.5195,69.5419,71.0258,66.6122,,82.963,39.5619,42.1756,99.5352,74.5332,84.8819,39.032
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,80.9072,63.1428,27.0589,58.5513,91.4934,47.4588,58.6396,50.1545,75.0165,61.6635,69.7293,86.2003,46.905,72.025,54.0129,40.3703,36.5052,23.9214,78.3166,51.2906,75.0223,95.5394,60.7603,58.5075,61.7638,63.9462,,51.9518,70.0614,79.9264,30.5793,50.1545,52.1937,82.0013
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,20.1692,36.5762,67.8831,44.222,7.2956,50.8864,39.4372,47.2142,25.6098,36.8206,32.1956,13.7324,50.6643,28.3727,44.054,56.334,58.9369,72.977,22.0662,46.4118,25.7588,1.343,38.9362,40.3606,38.6404,34.628,,46.2164,30.1862,21.1008,65.7872,47.2142,46.1978,18.5377
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,98.4429,88.7939,80.3952,94.8726,99.5799,94.2064,95.8703,91.6994,95.2433,96.2197,96.6577,99.0114,85.0145,93.6184,90.8363,83.4935,89.6469,85.0053,97.697,88.5167,97.2262,99.6625,95.289,94.2453,95.525,96.3906,,94.3936,92.5519,98.2401,88.3248,91.6994,94.8775,98.2869
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,31.436,34.9589,44.166,65.1423,35.5848,86.6839,69.2962,72.5169,32.6042,64.1548,48.2892,33.5104,39.1021,33.1975,61.3596,40.7695,82.4941,99.8541,47.4078,38.4375,50.3636,0.3583,63.0094,65.058,61.6,63.4731,,78.0305,33.5869,34.5906,98.3607,72.5169,79.1742,34.2794
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,39.5124,39.1405,19.5421,16.6141,35.6377,7.4328,18.6448,17.5289,39.3891,21.4786,28.0633,37.5751,30.3212,39.3265,23.9491,26.7719,7.3547,1.0121,28.0283,28.5287,26.1259,79.063,20.9645,20.1567,21.1383,21.2546,,13.0894,39.2854,37.2813,1.8297,17.5289,12.1147,37.367
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,95.922,85.8456,66.5524,90.4463,98.4488,88.0218,90.7282,86.2572,92.5807,91.4335,93.1841,97.1854,77.1637,90.8838,86.1349,73.6697,80.3544,70.64,95.2478,79.7687,94.4476,99.4379,90.7247,88.4781,91.1178,91.9542,,88.7184,89.77,95.6762,76.7546,86.2572,89.159,96.014
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,18.0,13.0,8.0,12.0,24.0,10.7538,13.564,11.26,16.342,14.1664,15.0,21.0,10.75,15.5,11.7769,9.8445,9.38,8.53,19.2,12.5,18.0,30.8,13.5225,13.9363,13.5686,15.12,,11.8304,14.9473,18.0,9.0908,11.26,11.8913,19.0944
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,10.0,6.0,1.0,4.0,16.0,4.0,6.673,4.84,8.6736,7.1248,7.0,13.0,3.75,8.0,5.1846,2.8445,3.07,2.04,11.2,5.05,10.0,22.8,6.2291,6.7602,6.0784,7.96,,5.062,7.5579,10.0,2.7792,4.84,5.0416,11.1222
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,26.0,23.0,14.0,19.0,36.0,16.5076,19.9005,18.36,25.0052,20.7288,22.5,31.0,18.95,24.5,19.7384,17.3201,14.69,13.53,29.2,19.4,27.5,40.0,20.5115,21.0276,20.6078,22.42,,18.0222,24.1684,26.25,14.1167,18.36,17.9147,28.1222
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,36.9495,56.8046,60.3942,65.4458,25.7348,69.9137,56.7267,65.9754,43.5335,54.041,51.1977,31.3422,58.4199,46.877,63.251,59.07,68.8274,72.4325,41.6192,49.8441,45.5903,8.5459,57.5495,55.543,57.6342,52.4149,,64.634,49.0717,38.3896,72.1933,65.9754,64.6228,36.0599
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,82.7413,53.177,43.5041,53.8649,88.8153,50.6556,63.8734,50.5887,72.9378,66.4356,68.3031,85.7783,48.8242,67.9591,51.3576,47.0724,47.0992,40.2888,74.8351,61.1608,71.3401,95.1886,61.7534,62.4162,61.8044,67.1117,,55.2845,64.6913,80.8411,43.6649,50.5887,55.9156,82.0285
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,22.9448,39.0023,58.7169,54.5528,11.1838,60.1814,45.4804,53.2609,28.2695,42.4201,38.7488,17.0643,47.8739,30.9735,49.0251,51.4442,62.0766,69.0201,28.5314,42.6195,32.8683,2.1607,45.7233,44.6958,45.9216,40.661,,53.8802,32.7484,24.5987,66.6301,53.2609,54.261,21.9656
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,8.8986,25.6106,26.8387,28.0167,3.6846,27.4846,19.026,26.5108,14.4403,17.6508,18.4577,6.2916,26.1632,17.2546,26.2434,26.3857,27.0623,27.2071,13.4174,18.7657,15.8506,0.2395,21.211,19.4268,21.6213,17.2647,,24.402,19.1018,10.0573,27.1802,26.5108,24.2067,8.9863
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,95.9375,54.3011,43.4016,55.8161,97.2584,50.8499,69.2708,50.5571,82.1309,72.8921,75.8768,96.5979,49.3963,75.1193,51.6694,47.4224,46.4682,37.4065,80.6815,67.0428,76.5372,99.4804,66.3327,66.8327,66.4944,72.7407,,57.2771,70.5171,92.7041,41.6415,50.5571,58.1973,93.1124
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,44.4839,40.7118,54.7864,62.4261,52.3658,69.4167,60.6538,59.8131,43.2331,58.4579,53.455,48.4248,47.0454,42.5978,54.1387,49.5943,67.7989,75.2215,56.3899,50.1503,57.396,28.7496,58.7213,59.8833,58.7399,59.4281,,64.7247,42.1809,46.6359,74.0775,59.8131,65.7638,47.2905
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,36.4273,30.2967,21.3699,45.6591,43.0105,45.3386,41.2611,38.9085,34.3944,40.6047,41.0432,39.7189,26.2796,33.362,36.3502,24.663,37.7745,27.6777,44.0699,28.1457,44.3348,8.1282,41.5084,38.8909,42.1684,41.8805,,42.9,32.6844,37.7452,34.3414,38.9085,43.7606,38.401
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,48.9304,60.1361,78.3789,72.2826,32.5615,75.9226,65.1185,70.5693,52.6462,62.9202,60.6065,40.746,68.3454,54.5332,67.4699,71.6491,78.2033,83.4088,48.4499,65.1271,52.422,17.3855,65.2913,64.0752,65.5337,60.441,,71.257,55.7718,49.5124,81.2135,70.5693,71.5885,46.2261
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,45.6794,63.6007,85.0514,75.434,34.6172,81.6424,67.7032,76.243,51.6221,64.7124,60.5567,40.1483,73.2535,54.6401,72.4873,77.1382,85.2903,89.7659,50.9439,67.334,55.0256,8.8707,67.787,66.8355,67.7627,62.9715,,75.8394,56.621,47.2371,87.9369,76.243,75.9991,44.8379
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,75.2629,77.5991,78.8884,83.4249,72.9322,86.6361,82.6464,83.9672,76.0376,81.6437,79.3439,74.0975,78.1793,76.431,82.0754,78.4128,85.5746,87.8329,77.1293,77.2569,78.1786,54.9832,81.9251,81.687,81.8027,81.1355,,84.7719,76.6892,75.7488,87.8932,83.9672,84.972,75.1403
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,44.454,61.4132,71.3714,65.6888,26.5249,68.712,58.9191,66.7071,50.0777,56.9547,55.0714,35.4894,65.8944,52.9336,65.1345,67.6978,70.7982,78.5991,42.1905,59.2586,46.1068,18.4909,59.6083,58.5567,59.6493,54.2405,,64.9432,54.8082,44.7295,75.2629,66.7071,64.7929,41.4049
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,88.7817,67.2327,31.6727,63.453,95.241,48.3491,61.2959,50.9813,81.6361,65.0284,76.1174,92.0113,51.2307,78.0072,55.8091,44.7908,36.8755,22.414,82.5258,57.3717,79.347,98.1373,64.4487,61.4435,65.9706,66.97,,53.5104,75.6253,87.2092,29.2188,50.9813,53.9089,88.5674
CC24_326b,Environment & Climate,binary,% Supporting,Require 20% renewable electricity,66.1221,44.5249,90.3056,76.5382,39.5961,67.4679,94.3359,53.1721,64.9202,57.9705,85.7403,68.3675,78.8868,92.3208,59.9143,83.4219,63.4864,53.224,42.997,27.1132,83.5887,62.4154,80.9019,97.7122,68.3898,64.9735,69.669,69.8955,,58.2508,81.9001,88.7383,34.2408,57.9705,58.2372,89.8113
CC24_326c,Environment & Climate,binary,% Supporting,Strengthen Clean Air/Water Act enforcement (even if it costs jobs),55.1936,29.6793,77.0459,62.6317,26.8186,51.2673,90.4664,37.8158,50.7811,43.5193,72.2662,54.3478,64.1566,83.7561,46.5158,69.8388,49.197,40.0301,28.7925,17.2818,74.7868,49.4209,70.8668,95.8454,53.9377,52.314,54.984,57.2369,,43.4479,68.2456,76.016,22.3735,43.5193,43.3265,78.7862
CC24_326d,Environment & Climate,binary,% Supporting,Increase fossil fuel production in the U.S.,56.953,85.0649,36.3858,50.0336,74.0844,70.3257,25.9202,79.5097,63.3784,70.3518,40.9114,59.7128,53.3558,31.153,60.8565,43.2097,64.3159,65.2121,81.6609,90.5976,43.6824,57.12,48.123,8.7407,62.2312,61.8424,62.145,57.8717,,72.2959,44.7182,38.342,88.0086,70.3518,72.9107,35.7874
CC24_326e,Environment & Climate,binary,% Supporting,Halt new oil and gas leases on federal lands,44.7229,19.5656,65.6536,50.8046,20.9991,38.5447,74.3598,26.7188,40.0978,32.686,60.7297,43.5682,52.0991,70.0067,37.3921,58.2291,38.0685,31.9943,20.01,11.5583,60.0338,41.0936,56.4523,88.94,42.4465,41.4992,43.2353,45.5209,,32.5101,56.5878,64.12,14.9317,32.686,32.3353,66.1106
CC24_326f,Environment & Climate,binary,% Supporting,Prevent government from banning gas stoves,67.4904,78.2704,61.4964,62.1408,77.1006,71.5926,56.6433,75.7535,70.7976,71.496,61.7101,69.5345,66.5445,59.0699,68.8727,61.8186,68.7168,71.5819,77.9078,84.2561,62.623,70.0787,64.118,39.0205,69.6324,70.3678,69.5306,68.5727,,73.2843,61.8898,61.9333,81.7318,71.496,73.6805,60.7789
CC24_328a,Healthcare & Housing,binary,% Supporting,Relax local zoning laws to allow more apartments/condos,50.2392,41.7546,55.0034,54.3716,40.223,51.2787,63.0486,45.3442,47.6569,47.0537,54.7939,48.6546,53.141,59.026,48.0047,54.6875,49.2276,45.4424,41.2798,38.3422,58.3406,46.8742,57.1636,64.5834,49.8599,49.1171,50.4853,50.4282,,46.5174,54.6177,55.3634,39.7245,47.0537,46.4477,56.8556
CC24_328b,Healthcare & Housing,binary,% Supporting,Expand federal tax incentives for affordable housing,72.447,59.6047,86.792,78.9586,53.0424,72.9798,92.8938,64.6458,71.7166,67.7333,84.1944,73.7638,79.8859,89.8429,67.2963,82.8753,71.068,62.6029,57.5704,46.3759,84.9282,68.2297,82.9368,96.4392,73.8064,71.6426,74.5201,75.2446,,67.73,82.0094,86.1495,51.7184,67.7333,67.6851,87.4431
CC24_328c,Healthcare & Housing,binary,% Supporting,Require able-bodied Medicaid recipients under 64 to work,53.2651,69.5243,44.5384,49.3468,58.3849,58.7486,40.1937,65.4629,58.3931,61.0498,46.1329,56.5116,51.6435,42.3661,53.4139,46.9426,57.5732,55.0507,66.0711,71.1072,47.6157,52.154,49.4712,18.6484,56.7571,56.9683,56.3721,55.4741,,62.1934,47.4741,45.3605,70.1599,61.0498,62.4791,44.2722
CC24_328d,Healthcare & Housing,binary,% Supporting,Repeal the Affordable Care Act,38.4834,62.1169,15.0659,33.492,67.1593,41.3864,5.0445,54.3036,41.1557,50.0944,21.176,37.6127,28.2262,10.0552,48.6423,24.2789,45.1624,54.7394,63.68,73.6826,19.5813,43.7173,23.2154,2.0968,38.5846,40.1542,37.5007,35.3295,,48.8559,26.3156,16.4242,68.9938,50.0944,48.74,14.3327
CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),78.6882,67.2118,93.4622,84.2906,65.8631,79.1274,95.4068,71.7028,78.9064,74.3849,90.4209,80.883,86.2948,94.4345,75.9982,88.8764,77.3276,72.661,66.7937,52.9106,88.895,78.2827,87.2671,99.1578,80.4451,78.0481,81.0615,81.6014,,74.7533,87.8626,92.4297,58.8346,74.3849,74.7629,92.9876
CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,2.6905,3.5336,1.912,2.3041,3.6628,2.9772,1.6061,3.3239,2.8112,3.0172,2.042,2.6891,2.4446,1.7591,2.9155,2.108,2.8054,3.1616,3.5737,3.9383,2.1545,2.8749,2.2916,1.2304,2.7508,2.7889,2.7415,2.6293,,3.0912,2.1514,1.9753,3.773,3.0172,3.1123,1.898
CC24_440a,Racial & Gender,likert5_dist,% Strongly Agree,White people have certain advantages because of their race,29.03,6.85,40.08,32.29,9.43,16.06,56.4,10.3212,21.654,17.5348,37.4968,24.1562,28.07,48.24,22.003,36.185,21.9181,17.8631,7.6498,3.9149,40.264,23.2225,36.23,79.733,22.4922,23.6623,22.3851,26.813,,15.5022,35.3239,39.4383,5.2045,17.5348,14.9329,42.8333
CC24_440a,Racial & Gender,likert5_dist,% Agree,White people have certain advantages because of their race,22.83,15.33,39.13,28.24,12.14,25.74,32.34,19.2535,25.9329,20.7522,35.5189,27.725,32.435,35.735,20.995,33.685,22.9766,18.0793,14.3411,9.3618,29.7,24.2855,29.04,18.366,26.8573,25.1693,27.4563,26.9764,,21.9174,32.4813,37.4483,11.7661,20.7522,22.0773,36.4228
CC24_440a,Racial & Gender,likert5_dist,% Neither,White people have certain advantages because of their race,18.04,26.64,13.42,24.58,22.3,23.84,7.43,25.5847,20.7505,25.7748,17.1207,19.755,18.63,10.425,23.554,19.0,25.4199,23.1411,25.2946,21.7841,13.994,18.304,15.635,1.337,21.2501,19.5918,21.1414,18.8476,,23.9089,20.2336,13.7892,23.6953,25.7748,23.6415,12.7202
CC24_440a,Racial & Gender,likert5_dist,% Disagree,White people have certain advantages because of their race,10.27,19.96,4.28,6.54,14.97,13.13,1.89,17.3858,12.9746,14.3236,5.0294,11.7939,8.705,3.085,10.3335,5.41,12.0113,11.8602,18.4131,18.833,6.386,10.1595,7.51,0.274,11.8813,11.7646,11.6553,11.1912,,15.2954,5.6598,4.8183,19.1737,14.3236,15.5218,4.1745
CC24_440a,Racial & Gender,likert5_dist,% Strongly Disagree,White people have certain advantages because of their race,19.83,31.22,3.1,8.34,41.16,21.22,1.94,27.451,18.6925,21.6104,4.8376,16.5751,12.16,2.52,23.109,5.72,17.6682,29.0527,34.3014,46.1013,9.652,24.033,11.58,0.297,17.5186,19.8126,17.3604,16.1744,,23.375,6.2992,4.5133,40.1575,21.6104,23.8257,3.8551
CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",3.4832,2.9101,4.0527,3.612,2.7983,3.1414,4.3917,2.9973,3.4191,3.2049,3.9066,3.5052,3.597,4.2222,3.2458,3.8323,3.3258,3.0985,2.8754,2.4566,3.8916,3.3628,3.7666,4.7718,3.4068,3.3933,3.398,3.5541,,3.1793,3.7836,4.005,2.6427,3.2049,3.1666,4.0815
CC24_440b,Racial & Gender,likert5_dist,% Strongly Agree,"Racial problems in the U.S. are rare, isolated situations",9.59,12.13,1.69,6.26,17.72,10.07,0.14,11.3536,7.479,9.6646,3.2054,6.6928,5.88,0.915,11.417,3.975,8.6532,13.4924,13.8629,24.478,4.112,10.5065,5.105,0.0,7.6772,9.1527,7.7459,6.4972,,9.7177,4.4801,2.2592,19.4774,9.6646,9.8,1.8398
CC24_440b,Racial & Gender,likert5_dist,% Agree,"Racial problems in the U.S. are rare, isolated situations",17.26,28.98,7.11,12.49,27.56,24.28,1.89,27.2086,19.2369,22.0542,8.894,17.5901,15.695,4.5,19.2715,9.8,19.213,22.0007,28.5398,33.047,10.846,18.3575,13.085,0.012,19.2023,18.9593,19.4345,16.8338,,23.5695,10.3947,8.1058,31.3157,22.0542,24.0024,6.7839
CC24_440b,Racial & Gender,likert5_dist,% Neither,"Racial problems in the U.S. are rare, isolated situations",17.16,25.12,13.28,23.36,24.51,22.94,7.89,24.2984,19.8453,24.3808,16.6225,18.9537,18.11,10.585,23.8775,18.32,24.0776,24.0858,24.9309,20.9354,13.91,19.4565,15.415,0.316,20.3912,18.8966,20.3331,18.1632,,22.7439,19.4342,13.6358,22.6632,24.3808,22.5168,12.6656
CC24_440b,Racial & Gender,likert5_dist,% Disagree,"Racial problems in the U.S. are rare, isolated situations",27.21,23.28,40.09,29.57,17.6,26.84,38.83,24.6218,30.7689,25.9218,36.6016,32.0346,33.465,39.46,24.1835,34.83,27.0056,22.0157,21.5192,15.4155,34.034,27.7205,32.835,22.157,30.2154,29.3913,30.2416,31.7682,,26.9994,33.6672,38.8808,18.5456,25.9218,27.0927,38.8133
