state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
19,IA,DSA,DSA,8,,1.0,0.0,pure,0.0645,,
19,IA,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1851,0.1052,0.1604
19,IA,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.1425,0.1262,0.1257
19,IA,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1262,0.1099,0.1206
19,IA,CON/CUP,CON/CUP,0,6.0,0.7,0.3,cooc,0.1851,0.1206,0.1021
19,IA,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1851,0.1099,0.0752
19,IA,LBR/DSA,LBR/DSA,1,8.0,0.5,0.5,cooc,0.1425,0.0645,0.0713
20,KS,CON,CON,0,,1.0,0.0,pure,0.2245,,
20,KS,LBR,LBR,1,,1.0,0.0,pure,0.106,,
20,KS,STY,STY,2,,1.0,0.0,pure,0.1449,,
20,KS,NAT,NAT,3,,1.0,0.0,pure,0.0878,,
20,KS,LIB,LIB,4,,1.0,0.0,pure,0.1069,,
20,KS,POP,POP,5,,1.0,0.0,pure,0.113,,
