state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
55,WI,DSA,DSA,8,,1.0,0.0,pure,0.0545,,
55,WI,PRG,PRG,9,,1.0,0.0,pure,0.0593,,
55,WI,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1955,0.119,0.1538
55,WI,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.1479,0.1164,0.1167
55,WI,POP/STY,POP/STY,5,2.0,0.5,0.5,cooc,0.119,0.1164,0.1082
55,WI,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1955,0.0876,0.0778
55,WI,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1479,0.0836,0.0742
55,WI,CON/CUP,CON/CUP,0,6.0,0.7,0.3,cooc,0.1955,0.0823,0.0606
56,WY,CON,CON,0,,1.0,0.0,pure,0.2331,,
56,WY,LBR,LBR,1,,1.0,0.0,pure,0.1062,,
56,WY,STY,STY,2,,1.0,0.0,pure,0.1113,,
56,WY,NAT,NAT,3,,1.0,0.0,pure,0.0639,,
56,WY,LIB,LIB,4,,1.0,0.0,pure,0.0868,,
56,WY,POP,POP,5,,1.0,0.0,pure,0.1869,,
56,WY,CUP,CUP,6,,1.0,0.0,pure,0.1369,,
56,WY,OAO,OAO,7,,1.0,0.0,pure,0.0516,,
56,WY,POP/STY,POP/STY,5,2.0,0.7,0.3,cooc,0.1869,0.1113,0.1879
56,WY,CON/CUP,CON/CUP,0,6.0,0.7,0.3,cooc,0.2331,0.1369,0.1733
56,WY,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.2331,0.1869,0.1145
56,WY,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1062,0.0868,0.0993
56,WY,STY/LBR,STY/LBR,2,1.0,0.5,0.5,cooc,0.1113,0.1062,0.0955
56,WY,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.2331,0.0639,0.0928
