candidate_a,candidate_b,euclidean_dist
SD/STY,LIB/CUP,1.0388
SD/STY,STY/CON,0.8475
CON/CUP,CON,0.4044
CON/CUP,SD,1.4436
CON/CUP,STY,1.4672
CON/CUP,NAT,1.4837
CON/CUP,LIB,1.7479
CON/CUP,POP,1.361
CON/CUP,CUP,0.66
CON/CUP,DSA,2.4304
CON/CUP,PRG,2.3399
CON/CUP,SD/STY,1.3739
CON/CUP,CON/CUP,0.0
CON/CUP,CON/SD,0.5939
CON/CUP,CON/STY,0.6815
CON/CUP,STY/POP,1.2681
CON/CUP,SD/CON,0.6938
CON/CUP,STY/SD,1.3678
CON/CUP,POP/STY,1.2562
CON/CUP,CON/POP,0.6331
CON/CUP,SD/LIB,1.5451
CON/CUP,SD/CUP,0.9744
CON/CUP,CON/NAT,0.8868
CON/CUP,LIB/CUP,1.2623
CON/CUP,STY/CON,0.8715
CON/SD,CON,0.7431
CON/SD,SD,0.9083
CON/SD,STY,0.9888
CON/SD,NAT,1.7631
CON/SD,LIB,1.4144
CON/SD,POP,1.3228
CON/SD,CUP,0.8542
CON/SD,DSA,1.8765
CON/SD,PRG,1.945
CON/SD,SD/STY,0.8102
CON/SD,CON/CUP,0.5939
CON/SD,CON/SD,0.0
CON/SD,CON/STY,0.443
CON/SD,STY/POP,0.9569
CON/SD,SD/CON,0.1156
CON/SD,STY/SD,0.8086
CON/SD,POP/STY,1.0385
CON/SD,CON/POP,0.7983
CON/SD,SD/LIB,1.1085
CON/SD,SD/CUP,0.5986
CON/SD,CON/NAT,1.1955
CON/SD,LIB/CUP,1.0384
CON/SD,STY/CON,0.5068
CON/STY,CON,0.6223
CON/STY,SD,1.2094
CON/STY,STY,0.8592
CON/STY,NAT,1.4388
CON/STY,LIB,1.7987
CON/STY,POP,0.9675
CON/STY,CUP,1.1371
CON/STY,DSA,2.0141
CON/STY,PRG,2.2455
CON/STY,SD/STY,1.0023
CON/STY,CON/CUP,0.6815
CON/STY,CON/SD,0.443
CON/STY,CON/STY,0.0
CON/STY,STY/POP,0.6464
CON/STY,SD/CON,0.5155
CON/STY,STY/SD,0.9236
CON/STY,POP/STY,0.6908
CON/STY,CON/POP,0.5208
CON/STY,SD/LIB,1.4694
CON/STY,SD/CUP,0.9818
CON/STY,CON/NAT,0.9145
CON/STY,LIB/CUP,1.4299
CON/STY,STY/CON,0.2222
STY/POP,CON,1.1831
STY/POP,SD,1.3504
STY/POP,STY,0.5787
STY/POP,NAT,1.4842
STY/POP,LIB,2.0679
STY/POP,POP,0.7074
STY/POP,CUP,1.6281
STY/POP,DSA,1.8213
STY/POP,PRG,2.3033
STY/POP,SD/STY,1.0552
STY/POP,CON/CUP,1.2681
STY/POP,CON/SD,0.9569
STY/POP,CON/STY,0.6464
STY/POP,STY/POP,0.0
STY/POP,SD/CON,0.9693
STY/POP,STY/SD,0.9121
STY/POP,POP/STY,0.2314
STY/POP,CON/POP,0.9137
STY/POP,SD/LIB,1.6891
STY/POP,SD/CUP,1.3243
STY/POP,CON/NAT,1.1906
STY/POP,LIB/CUP,1.7922
STY/POP,STY/CON,0.5049
SD/CON,CON,0.8587
SD/CON,SD,0.7927
SD/CON,STY,0.9421
SD/CON,NAT,1.8594
SD/CON,LIB,1.3199
SD/CON,POP,1.3831
SD/CON,CUP,0.8753
SD/CON,DSA,1.7695
SD/CON,PRG,1.8388
SD/CON,SD/STY,0.7035
SD/CON,CON/CUP,0.6938
SD/CON,CON/SD,0.1156
SD/CON,CON/STY,0.5155
SD/CON,STY/POP,0.9693
SD/CON,SD/CON,0.0
SD/CON,STY/SD,0.7145
SD/CON,POP/STY,1.0714
SD/CON,CON/POP,0.9031
SD/CON,SD/LIB,1.0009
SD/CON,SD/CUP,0.5118
SD/CON,CON/NAT,1.3018
SD/CON,LIB/CUP,0.9684
SD/CON,STY/CON,0.5339
STY/SD,CON,1.4878
STY/SD,SD,0.4974
STY/SD,STY,0.4975
STY/SD,NAT,2.2585
STY/SD,LIB,1.2713
STY/SD,POP,1.5672
STY/SD,CUP,1.4193
STY/SD,DSA,1.0968
STY/SD,PRG,1.4941
STY/SD,SD/STY,0.1691
STY/SD,CON/CUP,1.3678
STY/SD,CON/SD,0.8086
STY/SD,CON/STY,0.9236
STY/SD,STY/POP,0.9121
STY/SD,SD/CON,0.7145
STY/SD,STY/SD,0.0
STY/SD,POP/STY,1.1195
STY/SD,CON/POP,1.4151
STY/SD,SD/LIB,0.8636
STY/SD,SD/CUP,0.7626
STY/SD,CON/NAT,1.8035
STY/SD,LIB/CUP,1.1668
STY/SD,STY/CON,0.7449
POP/STY,CON,1.1267
POP/STY,SD,1.5313
POP/STY,STY,0.8102
POP/STY,NAT,1.2732
POP/STY,LIB,2.2269
POP/STY,POP,0.4759
POP/STY,CUP,1.6686
POP/STY,DSA,2.035
POP/STY,PRG,2.484
POP/STY,SD/STY,1.2525
POP/STY,CON/CUP,1.2562
POP/STY,CON/SD,1.0385
POP/STY,CON/STY,0.6908
POP/STY,STY/POP,0.2314
POP/STY,SD/CON,1.0714
POP/STY,STY/SD,1.1195
POP/STY,POP/STY,0.0
POP/STY,CON/POP,0.8124
POP/STY,SD/LIB,1.8583
POP/STY,SD/CUP,1.4519
POP/STY,CON/NAT,1.0325
POP/STY,LIB/CUP,1.917
POP/STY,STY/CON,0.6181
CON/POP,CON,0.3586
CON/POP,SD,1.661
CON/POP,STY,1.3195
CON/POP,NAT,0.9935
CON/POP,LIB,2.1813
CON/POP,POP,0.7981
CON/POP,CUP,1.2441
CON/POP,DSA,2.4955
CON/POP,PRG,2.6671
CON/POP,SD/STY,1.4846
CON/POP,CON/CUP,0.6331
CON/POP,CON/SD,0.7983
CON/POP,CON/STY,0.5208
CON/POP,STY/POP,0.9137
CON/POP,SD/CON,0.9031
CON/POP,STY/SD,1.4151
CON/POP,POP/STY,0.8124
CON/POP,CON/POP,0.0
CON/POP,SD/LIB,1.8884
CON/POP,SD/CUP,1.3462
CON/POP,CON/NAT,0.4167
CON/POP,LIB/CUP,1.7493
CON/POP,STY/CON,0.7139
SD/LIB,CON,1.8237
SD/LIB,SD,0.4069
SD/LIB,STY,1.3495
SD/LIB,NAT,2.7975
SD/LIB,LIB,0.4235
SD/LIB,POP,2.2415
SD/LIB,CUP,1.2485
SD/LIB,DSA,1.2469
SD/LIB,PRG,0.9182
SD/LIB,SD/STY,0.7022
SD/LIB,CON/CUP,1.5451
SD/LIB,CON/SD,1.1085
SD/LIB,CON/STY,1.4694
SD/LIB,STY/POP,1.6891
SD/LIB,SD/CON,1.0009
SD/LIB,STY/SD,0.8636
SD/LIB,POP/STY,1.8583
SD/LIB,CON/POP,1.8884
SD/LIB,SD/LIB,0.0
SD/LIB,SD/CUP,0.5821
SD/LIB,CON/NAT,2.2705
SD/LIB,LIB/CUP,0.5631
SD/LIB,STY/CON,1.3893
SD/CUP,CON,1.2711
SD/CUP,SD,0.5667
SD/CUP,STY,1.1562
SD/CUP,NAT,2.2491
SD/CUP,LIB,0.842
SD/CUP,POP,1.7813
SD/CUP,CUP,0.7512
SD/CUP,DSA,1.5979
SD/CUP,PRG,1.3888
SD/CUP,SD/STY,0.6614
SD/CUP,CON/CUP,0.9744
SD/CUP,CON/SD,0.5986
SD/CUP,CON/STY,0.9818
SD/CUP,STY/POP,1.3243
SD/CUP,SD/CON,0.5118
SD/CUP,STY/SD,0.7626
SD/CUP,POP/STY,1.4519
SD/CUP,CON/POP,1.3462
SD/CUP,SD/LIB,0.5821
SD/CUP,SD/CUP,0.0
SD/CUP,CON/NAT,1.7109
SD/CUP,LIB/CUP,0.487
SD/CUP,STY/CON,0.9586
CON/NAT,CON,0.6007
CON/NAT,SD,2.0579
CON/NAT,STY,1.663
CON/NAT,NAT,0.6253
