party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,199,122,66,387,22.42
1,Labor,160,86,36,282,16.34
4,Liberal,133,55,17,205,11.88
3,Nationalist,87,63,29,179,10.37
5,Populist,90,49,26,165,9.56
2,Solidarity,88,56,15,159,9.21
6,Civic Union Party,76,37,24,137,7.94
9,Progressive,56,24,3,83,4.81
7,Order and Opportunity Party,44,15,8,67,3.88
8,DSA,40,16,6,62,3.59
