party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,108,73,28,209,23.94
1,Labor,86,48,19,153,17.53
4,Liberal,72,33,7,112,12.83
5,Populist,42,32,12,86,9.85
3,Nationalist,35,34,14,83,9.51
6,Civic Union Party,41,25,8,74,8.48
2,Solidarity,43,25,4,72,8.25
9,Progressive,21,7,3,31,3.55
8,DSA,17,8,3,28,3.21
7,Order and Opportunity Party,16,5,4,25,2.86
