state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_POP_1,r1_pct_STY_1
1,AL,CON_1,LBR_1,STY_1,661,4,44.97,15.13,8.23,12.84,18.83
2,AK,LBR_1,STY_1,STY_1,105,4,32.14,23.54,13.84,14.23,16.25
4,AZ,CON_1,POP_1,STY_1,1159,4,31.02,20.85,17.15,20.04,10.94
5,AR,CON_1,POP_1,STY_1,390,4,40.33,23.94,10.51,16.08,9.14
6,CA,LBR_1,LIB_1,LBR_1,3626,4,20.88,23.36,23.33,15.74,16.68
8,CO,LBR_1,LIB_1,STY_1,785,4,30.03,21.37,24.4,16.38,7.81
9,CT,LBR_1,LIB_1,LBR_1,465,4,25.83,18.97,28.36,17.63,9.22
10,DE,LBR_1,LIB_1,LBR_1,164,4,31.99,30.43,23.27,6.92,7.39
11,DC,LBR_1,POP_1,LBR_1,122,4,11.85,28.9,41.77,11.02,6.46
12,FL,LBR_1,STY_1,STY_1,3350,4,37.55,21.38,12.37,10.44,18.26
13,GA,LBR_1,STY_1,STY_1,1489,4,36.63,21.22,15.79,10.72,15.65
15,HI,LBR_1,LIB_1,LBR_1,153,4,28.87,26.48,26.31,11.77,6.57
16,ID,CON_1,POP_1,POP_1,244,4,39.59,17.58,13.16,20.11,9.56
17,IL,LBR_1,LIB_1,LBR_1,1758,4,28.75,25.09,23.02,13.4,9.74
18,IN,CON_1,STY_1,STY_1,978,4,40.14,18.72,16.43,12.06,12.65
19,IA,LBR_1,STY_1,STY_1,490,4,39.42,23.04,13.92,11.33,12.29
20,KS,CON_1,LIB_1,STY_1,385,4,37.27,17.69,20.24,12.59,12.21
21,KY,CON_1,STY_1,STY_1,674,4,43.46,18.14,11.21,13.16,14.03
22,LA,CON_1,STY_1,STY_1,493,4,42.0,19.27,11.55,8.55,18.62
23,ME,LBR_1,LIB_1,LBR_1,236,4,23.91,21.17,29.6,17.89,7.43
24,MD,LBR_1,LIB_1,LBR_1,791,4,24.63,26.4,23.72,13.69,11.56
25,MA,LBR_1,LIB_1,LBR_1,906,4,27.85,25.68,28.54,9.33,8.6
26,MI,CON_1,POP_1,STY_1,1531,3,36.77,21.2,18.9,13.58,9.54
27,MN,CON_1,LBR_1,LBR_1,811,4,26.57,17.75,31.54,17.59,6.55
28,MS,STY_1,LBR_1,STY_1,349,4,36.16,19.96,8.31,10.12,25.45
29,MO,LBR_1,STY_1,STY_1,1047,4,37.85,22.63,13.07,11.41,15.05
30,MT,LBR_1,LIB_1,STY_1,185,4,37.05,18.73,19.14,12.26,12.82
31,NE,LBR_1,STY_1,STY_1,286,4,33.33,23.92,12.96,15.17,14.63
32,NV,LBR_1,POP_1,STY_1,573,4,30.62,21.44,19.66,14.65,13.63
33,NH,LBR_1,LIB_1,LBR_1,252,4,26.62,32.6,22.02,11.03,7.73
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,28.52,23.31,25.31,13.78,9.08
35,NM,LBR_1,LIB_1,LBR_1,309,3,27.72,29.42,17.34,13.19,12.33
36,NY,LBR_1,LIB_1,LBR_1,2585,4,25.93,26.54,22.48,12.47,12.59
37,NC,CON_1,POP_1,STY_1,1444,4,36.31,18.04,17.94,14.44,13.28
38,ND,CON_1,POP_1,POP_1,90,4,29.97,23.38,15.91,23.17,7.57
39,OH,CON_1,POP_1,STY_1,1978,4,38.47,19.99,15.25,13.36,12.93
40,OK,STY_1,LIB_1,CON_1,537,4,45.74,11.31,12.1,14.79,16.06
41,OR,LIB_1,LBR_1,LBR_1,810,4,23.07,23.23,31.58,16.46,5.66
42,PA,LBR_1,LIB_1,LBR_1,2418,4,33.46,20.62,24.37,13.22,8.33
44,RI,LBR_1,LIB_1,LBR_1,176,4,26.18,24.76,28.8,10.83,9.44
45,SC,LBR_1,STY_1,STY_1,736,4,38.22,20.82,12.39,14.08,14.49
46,SD,CON_1,STY_1,STY_1,137,4,40.16,17.55,13.22,10.3,18.77
47,TN,CON_1,none,CON_1,1065,1,54.43,13.94,8.64,9.99,13.0
48,TX,LBR_1,STY_1,STY_1,3392,4,36.63,21.08,11.29,11.31,19.69
49,UT,LBR_1,STY_1,STY_1,387,4,29.21,26.54,10.98,15.54,17.73
50,VT,LIB_1,LBR_1,LBR_1,105,4,27.99,18.91,43.03,5.45,4.62
51,VA,LBR_1,LIB_1,STY_1,1234,4,34.78,24.11,19.98,10.57,10.56
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.61,27.39,27.41,14.76,8.82
54,WV,STY_1,LBR_1,STY_1,335,4,42.26,16.6,7.92,13.02,20.2
55,WI,LBR_1,LIB_1,STY_1,1088,4,34.19,22.88,19.75,13.67,9.51
56,WY,CON_1,POP_1,POP_1,70,4,40.21,18.0,16.51,19.54,5.74
