party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,105,72,28,205,23.48
1,Labor,88,50,18,156,17.87
4,Liberal,71,27,6,104,11.91
2,Solidarity,56,38,5,99,11.34
5,Populist,43,35,14,92,10.54
6,Civic Union Party,46,22,11,79,9.05
3,Nationalist,29,29,13,71,8.13
8,DSA,15,8,2,25,2.86
9,Progressive,16,5,1,22,2.52
7,Order and Opportunity Party,12,4,4,20,2.29
