state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,36.09,12.8,27.64,8.42,15.05
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.27,18.57,34.55,14.84,11.77
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.53,7.42,25.72,18.28,20.05
5,AR,CON_1,CUP_1,CON_1,390,4,29.45,14.47,32.44,11.3,12.34
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.15,10.27,31.24,25.44,11.9
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.24,8.53,23.78,25.93,10.53
9,CT,CON_1,LBR_1,LBR_1,465,4,27.18,10.68,22.33,29.69,10.12
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.28,12.39,28.93,23.01,6.38
11,DC,LBR_1,CON_1,LBR_1,122,4,16.3,8.55,30.2,44.96,0.0
12,FL,LBR_1,CUP_1,LBR_1,3350,4,29.1,18.98,30.08,12.62,9.22
13,GA,LBR_1,LIB_1,LBR_1,1489,4,29.46,15.88,27.35,16.85,10.46
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.06,11.2,34.0,25.02,4.72
16,ID,CON_1,CUP_1,CON_1,244,4,29.97,19.61,20.26,14.15,16.01
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.03,15.42,25.11,23.84,9.6
18,IN,CON_1,CUP_1,CON_1,978,4,25.99,18.07,23.9,16.39,15.66
19,IA,CON_1,CUP_1,CON_1,490,4,28.73,16.87,24.96,14.02,15.42
20,KS,CON_1,CUP_1,CON_1,385,3,31.25,13.18,21.45,21.78,12.33
21,KY,CON_1,CUP_1,CON_1,674,4,30.31,17.17,25.73,11.91,14.87
22,LA,CON_1,CUP_1,CON_1,493,4,30.56,18.82,21.08,12.56,16.98
23,ME,LIB_1,LBR_1,LBR_1,236,4,26.14,6.94,26.55,31.98,8.38
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.31,9.61,33.43,26.06,8.59
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.1,9.27,29.8,29.54,9.29
26,MI,CON_1,NAT_1,CON_1,1531,3,29.91,10.13,23.77,20.11,16.07
27,MN,CON_1,LBR_1,LBR_1,811,4,26.49,10.01,19.52,33.07,10.92
28,MS,CON_1,CUP_1,CON_1,349,4,29.62,18.28,33.84,5.87,12.41
29,MO,CON_1,NAT_1,CON_1,1047,3,30.05,11.84,31.01,13.97,13.14
30,MT,CON_1,NAT_1,CON_1,185,4,20.98,10.77,23.48,20.77,23.99
31,NE,LBR_1,CUP_1,LBR_1,286,4,24.14,18.85,31.78,14.31,10.93
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.66,8.33,29.63,20.61,12.78
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.46,14.64,30.93,23.87,7.11
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.23,11.97,23.26,26.85,11.68
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.92,16.53,35.29,18.83,7.44
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.61,11.9,31.09,23.66,9.74
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,12.24,23.42,18.63,14.7
38,ND,CON_1,CUP_1,CUP_1,90,4,33.28,21.81,23.2,17.52,4.19
39,OH,CON_1,CUP_1,CON_1,1978,3,31.45,14.5,25.0,15.75,13.29
40,OK,CON_1,NAT_1,CON_1,537,4,30.55,15.72,21.98,13.21,18.54
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.31,6.45,24.56,33.6,17.07
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.94,10.2,23.72,25.5,11.63
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.3,29.07,30.41,6.62
45,SC,CON_1,CUP_1,CON_1,736,4,30.83,13.4,29.72,12.04,14.01
46,SD,CON_1,CUP_1,CUP_1,137,4,25.55,20.48,24.21,14.59,15.16
47,TN,CON_1,NAT_1,CON_1,1065,4,39.03,14.0,20.02,8.14,18.81
48,TX,CON_1,CUP_1,CON_1,3392,4,29.73,16.87,30.34,11.64,11.42
49,UT,LBR_1,CUP_1,LBR_1,387,4,24.08,14.62,37.75,12.09,11.47
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.52,6.98,19.34,45.06,5.1
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.93,10.04,28.21,21.43,12.39
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.26,10.92,27.19,28.83,11.8
54,WV,CON_1,CUP_1,CON_1,335,4,32.67,18.57,28.05,8.84,11.88
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.13,11.51,24.24,21.07,12.04
56,WY,CON_1,CUP_1,CON_1,70,4,35.33,23.09,15.99,15.52,10.06
