party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,103,73,28,204,23.37
1,Labor,87,49,18,154,17.64
4,Liberal,68,27,6,101,11.57
2,Solidarity,58,37,5,100,11.45
5,Populist,43,35,14,92,10.54
6,Civic Union Party,45,23,11,79,9.05
3,Nationalist,30,29,13,72,8.25
8,DSA,19,7,2,28,3.21
9,Progressive,16,7,1,24,2.75
7,Order and Opportunity Party,12,3,4,19,2.18
