party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,91,79,34,204,23.37
1,Social Democrat,99,68,17,184,21.08
2,Solidarity,104,48,19,171,19.59
5,Populist,51,29,18,98,11.23
4,Liberal,60,29,6,95,10.88
6,Civic Union Party,46,22,9,77,8.82
8,DSA,20,2,0,22,2.52
3,Nationalist,7,5,5,17,1.95
9,Progressive,5,0,0,5,0.57
