party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,81,64,23,168,23.4
1,Labor,75,50,11,136,18.94
4,Liberal,57,21,8,86,11.98
2,Solidarity,43,35,5,83,11.56
5,Populist,32,29,9,70,9.75
6,Civic Union Party,35,27,7,69,9.61
3,Nationalist,19,25,4,48,6.69
9,Progressive,15,7,1,23,3.2
8,DSA,15,5,1,21,2.92
7,Order and Opportunity Party,10,3,1,14,1.95
