party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,81,65,23,169,23.54
1,Labor,75,49,11,135,18.8
4,Liberal,54,22,8,84,11.7
2,Solidarity,43,35,5,83,11.56
5,Populist,32,29,9,70,9.75
6,Civic Union Party,35,25,7,67,9.33
3,Nationalist,21,26,4,51,7.1
9,Progressive,16,7,1,24,3.34
8,DSA,17,4,1,22,3.06
7,Order and Opportunity Party,8,4,1,13,1.81
