variable,domain,question,party,pYes,observedPct,delta,diverges
CC24_323b,Immigration,Increase border patrols,LIB,0.8402,75.33,-8.69,False
CC24_323b,Immigration,Increase border patrols,POP,0.9539,89.1,-6.28,False
CC24_323b,Immigration,Increase border patrols,CUP,0.9732,93.2,-4.12,False
CC24_323b,Immigration,Increase border patrols,OAO,0.9953,99.97,0.44,False
CC24_323b,Immigration,Increase border patrols,DSA,0.2123,18.34,-2.89,False
CC24_323b,Immigration,Increase border patrols,PRG,0.2784,40.63,12.79,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,CON,0.5398,53.0,-0.97,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,LBR,0.9929,98.38,-0.9,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,STY,0.9772,86.68,-11.04,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,NAT,0.0188,0.28,-1.6,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,LIB,0.9982,99.97,0.15,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,POP,0.1586,27.67,11.8,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,CUP,0.8832,72.28,-16.03,True
CC24_323d,Immigration,Permanent status/pathway for Dreamers,OAO,0.9863,98.78,0.15,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,DSA,0.9993,100.0,0.07,False
CC24_323d,Immigration,Permanent status/pathway for Dreamers,PRG,0.9994,100.0,0.06,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,CON,0.2349,25.71,2.21,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,LBR,0.822,79.62,-2.58,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,STY,0.6996,70.53,0.57,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,NAT,0.0763,5.29,-2.34,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,LIB,0.872,82.71,-4.48,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,POP,0.2582,30.24,4.42,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,CUP,0.4259,47.29,4.7,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,OAO,0.5795,54.82,-3.13,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,DSA,0.9505,95.9,0.85,False
CC24_323f,Immigration,Forgive up to $20k of student loan debt per person,PRG,0.9426,93.64,-0.62,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,CON,0.9918,99.81,0.63,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,LBR,0.3014,39.46,9.31,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,STY,0.2628,39.63,13.34,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,NAT,0.9976,100.0,0.24,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,LIB,0.1924,29.43,10.19,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,POP,0.9642,87.09,-9.33,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,CUP,0.9282,82.1,-10.72,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,OAO,0.9678,100.0,3.22,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,DSA,0.0065,0.03,-0.62,False
CC24_340f,Immigration,Deny asylum for illegal border crossings,PRG,0.0098,0.11,-0.87,False
CC24_321a,Police & Guns,Ban assault rifles,CON,0.3785,40.75,2.9,False
CC24_321a,Police & Guns,Ban assault rifles,LBR,0.8472,80.91,-3.81,False
CC24_321a,Police & Guns,Ban assault rifles,STY,0.6547,63.14,-2.33,False
CC24_321a,Police & Guns,Ban assault rifles,NAT,0.08,6.41,-1.59,False
CC24_321a,Police & Guns,Ban assault rifles,LIB,0.9241,91.49,-0.92,False
CC24_321a,Police & Guns,Ban assault rifles,POP,0.2148,27.06,5.58,False
CC24_321a,Police & Guns,Ban assault rifles,CUP,0.6098,58.55,-2.43,False
CC24_321a,Police & Guns,Ban assault rifles,OAO,0.8394,81.03,-2.91,False
CC24_321a,Police & Guns,Ban assault rifles,DSA,0.9203,93.19,1.16,False
CC24_321a,Police & Guns,Ban assault rifles,PRG,0.9392,96.54,2.62,False
CC24_321b,Police & Guns,Easier concealed-carry permits,CON,0.6023,54.92,-5.31,False
CC24_321b,Police & Guns,Easier concealed-carry permits,LBR,0.1343,20.17,6.74,False
CC24_321b,Police & Guns,Easier concealed-carry permits,STY,0.2659,36.58,9.98,False
CC24_321b,Police & Guns,Easier concealed-carry permits,NAT,0.9212,91.77,-0.35,False
CC24_321b,Police & Guns,Easier concealed-carry permits,LIB,0.0721,7.3,0.09,False
CC24_321b,Police & Guns,Easier concealed-carry permits,POP,0.7592,67.88,-8.03,False
CC24_321b,Police & Guns,Easier concealed-carry permits,CUP,0.4153,44.22,2.69,False
CC24_321b,Police & Guns,Easier concealed-carry permits,OAO,0.1447,21.12,6.64,False
CC24_321b,Police & Guns,Easier concealed-carry permits,DSA,0.0568,1.91,-3.77,False
CC24_321b,Police & Guns,Easier concealed-carry permits,PRG,0.0593,1.1,-4.83,False
CC24_321c,Police & Guns,Require background checks on all gun sales,CON,0.9587,93.8,-2.07,False
CC24_321c,Police & Guns,Require background checks on all gun sales,LBR,0.9842,98.44,0.02,False
CC24_321c,Police & Guns,Require background checks on all gun sales,STY,0.9501,88.79,-6.22,False
CC24_321c,Police & Guns,Require background checks on all gun sales,NAT,0.7528,75.85,0.57,False
CC24_321c,Police & Guns,Require background checks on all gun sales,LIB,0.992,99.58,0.38,False
CC24_321c,Police & Guns,Require background checks on all gun sales,POP,0.8416,80.4,-3.77,False
CC24_321c,Police & Guns,Require background checks on all gun sales,CUP,0.9715,94.87,-2.28,False
CC24_321c,Police & Guns,Require background checks on all gun sales,OAO,0.9949,98.98,-0.51,False
CC24_321c,Police & Guns,Require background checks on all gun sales,DSA,0.9798,99.7,1.72,False
CC24_321c,Police & Guns,Require background checks on all gun sales,PRG,0.9856,99.65,1.09,False
CC24_321d,Police & Guns,Increase police by 10%,CON,0.9799,99.71,1.73,False
CC24_321d,Police & Guns,Increase police by 10%,LBR,0.1429,31.44,17.14,True
CC24_321d,Police & Guns,Increase police by 10%,STY,0.1797,34.96,16.99,True
CC24_321d,Police & Guns,Increase police by 10%,NAT,0.9528,100.0,4.72,False
CC24_321d,Police & Guns,Increase police by 10%,LIB,0.172,35.58,18.39,True
CC24_321d,Police & Guns,Increase police by 10%,POP,0.6032,44.17,-16.16,True
CC24_321d,Police & Guns,Increase police by 10%,CUP,0.8468,65.14,-19.54,True
CC24_321d,Police & Guns,Increase police by 10%,OAO,0.986,99.98,1.38,False
CC24_321d,Police & Guns,Increase police by 10%,DSA,0.003,0.27,-0.02,False
CC24_321d,Police & Guns,Increase police by 10%,PRG,0.004,0.4,-0.0,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",CON,0.0229,1.88,-0.41,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",LBR,0.3743,39.51,2.09,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",STY,0.3078,39.14,8.36,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",NAT,0.0293,0.11,-2.82,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",LIB,0.3552,35.64,0.12,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",POP,0.1145,19.54,8.09,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",CUP,0.0738,16.61,9.23,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",OAO,0.0233,1.36,-0.97,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",DSA,0.8409,87.21,3.12,False
CC24_321e,Police & Guns,"Decrease police by 10%, increase other funding",PRG,0.8228,75.57,-6.71,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,CON,0.9041,86.56,-3.85,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,LBR,0.9731,95.92,-1.39,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,STY,0.9115,85.85,-5.31,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,NAT,0.5279,54.08,1.29,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,LIB,0.9866,98.45,-0.21,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,POP,0.7025,66.55,-3.7,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,CUP,0.9391,90.45,-3.46,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,OAO,0.9891,98.45,-0.46,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,DSA,0.9719,99.01,1.82,False
CC24_321f,Police & Guns,Increase spending on mental health & school safety,PRG,0.9791,99.62,1.71,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),CON,0.472,48.71,1.52,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),LBR,0.861,82.74,-3.36,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),STY,0.6111,53.18,-7.94,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),NAT,0.2275,31.52,8.77,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),LIB,0.8835,88.82,0.46,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),POP,0.4548,43.5,-1.97,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),CUP,0.5969,53.86,-5.83,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),OAO,0.7847,75.02,-3.45,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),DSA,0.9012,94.05,3.93,False
CC24_340b,Abortion,Prohibit restrictions on abortion access (Congress bill),PRG,0.9076,95.68,4.92,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,CON,0.65,63.59,-1.41,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,LBR,0.1845,22.94,4.5,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,STY,0.3196,39.0,7.05,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,NAT,0.8074,74.68,-6.06,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,LIB,0.1511,11.18,-3.93,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,POP,0.5884,58.72,-0.12,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,CUP,0.4763,54.55,6.92,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,OAO,0.3996,38.55,-1.41,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,DSA,0.0783,3.78,-4.05,False
CC24_444c,Abortion,Prohibit abortion-inducing drugs by mail,PRG,0.0791,1.47,-6.45,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,CON,0.2591,27.16,1.25,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,LBR,0.0921,8.9,-0.31,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,STY,0.1512,25.61,10.49,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,NAT,0.3569,27.25,-8.44,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,LIB,0.0857,3.68,-4.89,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,POP,0.2287,26.84,3.96,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,CUP,0.1948,28.02,8.54,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,OAO,0.1607,16.0,-0.07,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,DSA,0.059,0.47,-5.43,False
CC24_444d,Abortion,Prohibit women traveling to another state for abortion,PRG,0.0594,0.14,-5.8,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,CON,0.4568,47.85,2.17,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,LBR,0.9833,95.94,-2.4,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,STY,0.6376,54.3,-9.46,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,NAT,0.0837,26.54,18.17,True
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,LIB,0.9861,97.26,-1.35,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,POP,0.4432,43.4,-0.92,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,CUP,0.6953,55.82,-13.71,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,OAO,0.9399,79.25,-14.74,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,DSA,0.9898,98.47,-0.51,False
CC24_340c,Civil Liberties,Federal recognition of same-sex & interracial marriages,PRG,0.9922,99.91,0.69,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,CON,0.734,73.65,0.24,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,LBR,0.4448,44.48,0.0,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,STY,0.4179,40.71,-1.08,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,NAT,0.7293,76.86,3.93,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,LIB,0.4684,52.37,5.53,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,POP,0.5831,54.79,-3.52,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,CUP,0.6679,62.43,-4.36,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,OAO,0.7291,70.79,-2.12,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,DSA,0.2292,20.81,-2.11,False
CC24_340d,Civil Liberties,Ban TikTok unless China sells to a US company,PRG,0.2885,32.15,3.3,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,CON,0.4601,45.14,-0.86,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,LBR,0.3227,36.43,4.15,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,STY,0.1624,30.3,14.05,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,NAT,0.1471,9.5,-5.21,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,LIB,0.4301,43.01,-0.0,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,POP,0.1144,21.37,9.93,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,CUP,0.4068,45.66,4.98,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,OAO,0.7981,71.62,-8.2,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,DSA,0.1276,18.33,5.58,False
CC24_340e,Civil Liberties,Renew post-9/11 surveillance programs,PRG,0.1777,3.75,-14.02,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,CON,0.8092,78.12,-2.79,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,LBR,0.4368,48.93,5.25,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,STY,0.5563,60.14,4.51,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,NAT,0.9076,88.91,-1.85,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,LIB,0.359,32.56,-3.34,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,POP,0.8033,78.38,-1.95,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,CUP,0.6899,72.28,3.29,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,OAO,0.6135,59.93,-1.42,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,DSA,0.2482,21.67,-3.15,False
CC24_444a,Civil Liberties,Prevent gender transition surgery for minors,PRG,0.2447,15.55,-8.92,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,CON,0.8933,85.4,-3.93,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,LBR,0.4144,45.68,4.24,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,STY,0.58,63.6,5.6,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,NAT,0.9543,94.31,-1.12,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,LIB,0.3295,34.62,1.67,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,POP,0.86,85.05,-0.94,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,CUP,0.7632,75.43,-0.88,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,OAO,0.7286,70.85,-2.01,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,DSA,0.1643,11.67,-4.76,False
CC24_444b,Civil Liberties,Parental consent for name/pronoun changes at school,PRG,0.1577,7.67,-8.1,False
