variable,domain,question,party,pYes,observedPct,delta,diverges
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,LIB,0.2484,25.92,1.08,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,POP,0.8185,74.08,-7.76,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,CUP,0.7009,70.33,0.24,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,OAO,0.6552,60.6,-4.93,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,DSA,0.1099,10.02,-0.98,False
CC24_326d,Environment & Climate,Increase fossil fuel production in the U.S.,PRG,0.1095,8.19,-2.75,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,CON,0.1775,19.57,1.82,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,LBR,0.682,65.65,-2.55,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,STY,0.4993,50.8,0.87,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,NAT,0.0593,3.22,-2.71,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,LIB,0.7698,74.36,-2.62,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,POP,0.1697,21.0,4.03,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,CUP,0.3367,38.54,4.88,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,OAO,0.4732,45.23,-2.09,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,DSA,0.8614,87.69,1.54,False
CC24_326e,Environment & Climate,Halt new oil and gas leases on federal lands,PRG,0.868,89.48,2.68,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,CON,0.8047,78.27,-2.2,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,LBR,0.5883,61.5,2.66,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,STY,0.6422,62.14,-2.08,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,NAT,0.8735,90.49,3.14,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,LIB,0.5255,56.64,4.09,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,POP,0.8002,77.1,-2.92,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,CUP,0.7231,71.59,-0.71,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,OAO,0.6926,69.0,-0.26,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,DSA,0.4435,44.13,-0.22,False
CC24_326f,Environment & Climate,Prevent government from banning gas stoves,PRG,0.4336,36.83,-6.54,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,CON,0.438,41.75,-2.04,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,LBR,0.5609,55.0,-1.09,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,STY,0.4953,54.37,4.84,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,NAT,0.3506,34.79,-0.27,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,LIB,0.6209,63.05,0.96,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,POP,0.3918,40.22,1.05,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,CUP,0.5262,51.28,-1.35,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,OAO,0.5443,55.85,1.42,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,DSA,0.5965,52.8,-6.85,False
CC24_328a,Healthcare & Housing,Relax local zoning laws to allow more apartments/condos,PRG,0.6531,69.63,4.33,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,CON,0.6077,59.6,-1.16,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,LBR,0.8892,86.79,-2.13,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,STY,0.7991,78.96,-0.95,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,NAT,0.3212,32.61,0.49,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,LIB,0.9235,92.89,0.55,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,POP,0.518,53.04,1.24,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,CUP,0.7432,72.98,-1.34,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,OAO,0.8517,81.78,-3.39,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,DSA,0.9377,95.92,2.15,False
CC24_328b,Healthcare & Housing,Expand federal tax incentives for affordable housing,PRG,0.9442,96.66,2.24,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,CON,0.7027,69.52,-0.75,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,LBR,0.4178,44.54,2.76,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,STY,0.4486,49.35,4.49,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,NAT,0.7316,72.75,-0.4,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,LIB,0.3982,40.19,0.37,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,POP,0.5987,58.38,-1.49,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,CUP,0.6019,58.75,-1.44,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,OAO,0.6484,67.13,2.29,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,DSA,0.2474,22.05,-2.69,False
CC24_328c,Healthcare & Housing,Require able-bodied Medicaid recipients under 64 to work,PRG,0.2601,17.19,-8.82,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,CON,0.6336,62.12,-1.25,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,LBR,0.1319,15.07,1.88,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,STY,0.291,33.49,4.4,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,NAT,0.8759,85.72,-1.87,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,LIB,0.075,5.04,-2.46,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,POP,0.6891,67.16,-1.75,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,CUP,0.3683,41.39,4.55,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,OAO,0.2493,25.31,0.39,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,DSA,0.0537,3.56,-1.81,False
CC24_328d,Healthcare & Housing,Repeal the Affordable Care Act,PRG,0.0391,1.47,-2.44,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),CON,0.6927,67.21,-2.05,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),LBR,0.9422,93.46,-0.76,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),STY,0.8815,84.29,-3.86,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),NAT,0.3791,38.03,0.12,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),LIB,0.9598,95.41,-0.57,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),POP,0.6327,65.86,2.59,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),CUP,0.8114,79.13,-2.02,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),OAO,0.9062,88.54,-2.08,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),DSA,0.9735,98.76,1.41,False
CC24_328e,Healthcare & Housing,Expand Medicaid (income <$25k individual / <$40k family),PRG,0.9734,99.33,1.98,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,CON,0.9334,90.69,-2.65,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,LBR,0.1624,21.55,5.31,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,STY,0.3468,38.76,4.08,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,NAT,0.9883,99.27,0.44,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,LIB,0.0913,9.99,0.87,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,POP,0.91,87.11,-3.89,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,CUP,0.7361,71.62,-2.0,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,OAO,0.631,60.15,-2.96,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,DSA,0.0189,1.81,-0.08,False
CC24_323c,Immigration,Build a wall between the U.S. and Mexico,PRG,0.0191,1.38,-0.52,False
