state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_RH,first_choice_MW,first_choice_MRJ,first_choice_BE,first_choice_CO,first_choice_DH,first_choice_LK,first_choice_ZN,first_choice_JR,first_choice_SD_STY,first_choice_CON_CTR,first_choice_CON_SD,first_choice_CON_STY,first_choice_STY_REF,first_choice_SD_CON,first_choice_STY_SD,first_choice_REF_STY,first_choice_CON_REF,first_choice_SD_LIB,first_choice_SD_CTR
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.07083569050144736,0.04037881488770608,0.039259045501471974,0.11450619846785133,0.028969722430309743,0.037220453905076945,0.04892471121124695,0.10718521617822219,0.04354977310145735,0.02781210180703464,0.08895151399334969,0.03991957272219746,0.08070236588903391,0.026144681479543377,0.05611543917436624,0.020755688738671292,0.019500146692513633,0.06475454490780806,0.02441576212851095,0.02009855628218079
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.03009184420538331,0.08137368567709553,0.012718609680429576,0.09347715803749698,0.10559036813336556,0.04631345918741836,0.1930892867090906,0.04512189475600515,0.03922130348511964,0.010317178169540437,0.04673364922515473,0.036085636437959055,0.04850438359304053,0.0,0.004154162139821559,0.0,0.002501310717683013,0.06264052311235563,0.10059681387806448,0.04146873285497589
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.07619012777306074,0.038541723791348244,0.027239476664178072,0.1504587470366537,0.06539010635424869,0.09759625689555367,0.023188244818197312,0.05713980498071536,0.1081454866343429,0.017373396574953005,0.02492703844106312,0.04412352543390793,0.02487893320010066,0.021326788103799656,0.03633292726073063,0.03422393957320653,0.03966402139286694,0.04818126809872851,0.041220787552951804,0.02385739941939255
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.08365468651968833,0.04678982042414608,0.008182062987760171,0.09826224753153563,0.026626253982343147,0.04621735378892033,0.04984537925517299,0.052986929598745555,0.0757846749992691,0.02241203922032822,0.05828645593653452,0.098739971255763,0.020375374378823898,0.04519070171837431,0.09787723738355232,0.028074278586823525,0.02861838242857358,0.03682081893087831,0.043228160443795,0.03202717062897194
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.03091536495633875,0.04965594030616498,0.04451334372603734,0.07431490206527136,0.08197720600738598,0.06860166226085138,0.05003863578068655,0.049082464800719955,0.10177499336458833,0.03993587968367769,0.03959074613268901,0.049533295332543165,0.0172812089935478,0.03225419057749761,0.05013684741907592,0.042327665693482654,0.0261039438220466,0.032422322188464234,0.06014952201160138,0.05938986487732936
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.043287764815319936,0.04665003039456278,0.018200062954646903,0.11326726721445365,0.10902877289163256,0.06489167116028872,0.04758861599465749,0.04692965609228628,0.10453536446519564,0.02880713996498746,0.019996438000266327,0.020009547741052753,0.06279393196426819,0.02306963626457383,0.026190061178550023,0.014768390070677671,0.03166311527771326,0.08337907203298743,0.06720581993130953,0.02773764159056946
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.04162004866720495,0.023812733985129002,0.03833670892297514,0.08899497111930378,0.08097518561601806,0.019615291573271774,0.06806614930360297,0.04002513557523501,0.11567779415317482,0.01841853078383231,0.015382456557882031,0.059666538984172,0.03370652826707914,0.02915316529714648,0.0634050728620123,0.03948103840803674,0.014711721027101067,0.08413386237734767,0.04925811071779074,0.0755589558016841
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.06060938308715563,0.057290777817617246,0.03202609497667904,0.1104560947622445,0.1181812181492894,0.030970346569588917,0.06540069115662095,0.02920716996013048,0.058143147458177356,0.0,0.0524787446040331,0.039147862844109906,0.02353492794723598,0.005975227269175275,0.058955330132264755,0.02865456313931962,0.0060201325554476125,0.02820951342776951,0.038701469112675885,0.15603730503046476
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.024904020133689465,0.09950024607812412,0.004090939163894863,0.0,0.08535064228448991,0.003316384822355599,0.05021960977165802,0.11421328433896169,0.21379819959442106,0.04429126093336152,0.11704595447258585,0.019171477696078045,0.016523009255585343,0.023421980533312917,0.03057603410294558,0.009538480991276917,0.0,0.028408150634188997,0.07826339030390402,0.03736693488916609
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.05737491946214765,0.017448068818992756,0.03287101669514885,0.0810063160141599,0.0557626422980737,0.04109175351628615,0.07358451015006943,0.07364605589987071,0.04465383828139124,0.03573045770055072,0.06800363475354798,0.05492456663206549,0.033736380137677734,0.04585441228310336,0.05146653322350621,0.03239557021196332,0.012276555875487134,0.06150401806255324,0.05392405052017462,0.07274469946322973
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.04985969367961807,0.032859545272296536,0.0228991369417065,0.05471848694277573,0.05624888366433016,0.03581060719954716,0.10045831600555051,0.05598960379404055,0.04300128446407543,0.0662428308518477,0.05811567926054742,0.046301011432797114,0.04975045049252772,0.06180106379909079,0.0533650377674127,0.0467629516035189,0.020517951216757844,0.044535917776014615,0.032785413490517154,0.024577288892456636,0.0437207618849491,0.0620673238433765,0.04322913561786629
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.09074132814442311,0.024620781399219263,0.020004037006609195,0.013057158483968373,0.06019921631335792,0.034356388358037046,0.06114634113156335,0.09469295061430406,0.01349355053650407,0.07596323343399553,0.07681953166000818,0.04530628444481681,0.026951717976298178,0.0575691541547224,0.0761928682148867,0.0017104152390876209,0.0,0.12700595188594604,0.041457216159090475,0.04881888129063958,0.03601792539855745,0.05189252775071802,0.0573486869534982
16,ID,325.3257376171863,0.20463126520678573,0.09963089124335596,0.09876664136983487,0.11802022446045173,0.06771348154331189,0.1682708938292832,0.11596533728371589,0.032011284620680654,0.06327144299049374,0.031718537452086235,0.08264135162900767,0.020619469383447442,0.027516922813335395,0.12742029450491804,0.04553477513164131,0.10311553585516613,0.031971849773911286,0.0849097551665635,0.04701460217111301,0.02054664388510954,0.07415397991689458,0.043975374293063814,0.012426393039393378,0.013183843621033992,0.028281509126596716,0.041953820023689595,0.03871399307737306,0.09585039713661099,0.02684779641174894,0.03332169303938165
17,IL,1460.3318361668644,0.1694762314632719,0.14751637888936087,0.11122412586928143,0.07031022576289941,0.10912528356107526,0.09711397398545024,0.10621777000861982,0.06590167285406419,0.06060214443856429,0.06251219316741254,0.041287903142524486,0.04477747846292295,0.014496463446544311,0.08072656437437334,0.09493701968482719,0.04452393211425224,0.051308887186642026,0.058646097297996934,0.09450818486549298,0.019267539097288996,0.06407089539629852,0.04864328891566477,0.04643864709691699,0.012722105498311487,0.041816609604948415,0.02707304666615099,0.026286394635461494,0.061970209192859296,0.07576564505450029,0.05073308826602238
18,IN,994.9890932957763,0.19892570421824254,0.13636087916115552,0.13516936118677372,0.10344310424846466,0.07687500326701606,0.11049083235029818,0.09935432945830594,0.05382922066793847,0.05018115831488827,0.03537040712691661,0.0731261942300903,0.04409429149420799,0.03731908864607139,0.13846875867414962,0.03574061576205859,0.043182646103366966,0.056676129528671994,0.05667257612541449,0.06592762362273358,0.017844543840110635,0.06704148001915541,0.027941318908616918,0.02863738968498828,0.02663447016553548,0.02124043482627323,0.030622419159917928,0.03085288865173711,0.06385448694216299,0.0617705800867508,0.07235206352798633
