respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
44126,SD_CON,CON_STY,REF_STY,MRJ,STY_SD,CON_SD,RH,STY_REF,MW,CON_REF,SD_STY,SD_CTR,CON_CTR,DH,SD_LIB,LK,BE,CO,ZN,JR
44127,LK,CON_CTR,CON_REF,SD_CTR,CON_SD,SD_CON,RH,CON_STY,CO,STY_SD,DH,SD_LIB,MW,SD_STY,STY_REF,REF_STY,BE,MRJ,ZN,JR
44128,STY_SD,ZN,SD_LIB,MRJ,JR,MW,SD_STY,SD_CTR,CO,STY_REF,SD_CON,CON_SD,REF_STY,LK,CON_STY,CON_CTR,RH,CON_REF,DH,BE
44129,BE,RH,DH,CON_REF,CON_CTR,CON_STY,REF_STY,STY_REF,LK,CON_SD,SD_CON,SD_CTR,MRJ,STY_SD,ZN,SD_STY,MW,JR,SD_LIB,CO
44130,SD_STY,STY_SD,SD_CTR,CON_SD,MW,SD_LIB,SD_CON,CON_STY,CO,LK,CON_CTR,MRJ,ZN,RH,JR,STY_REF,CON_REF,REF_STY,DH,BE
44131,ZN,MRJ,STY_SD,SD_STY,MW,STY_REF,REF_STY,SD_LIB,SD_CON,SD_CTR,CON_SD,CON_STY,JR,CON_REF,CON_CTR,LK,RH,CO,DH,BE
44132,LK,CON_CTR,RH,CON_REF,BE,SD_CTR,SD_CON,CON_SD,CON_STY,STY_REF,CO,DH,JR,ZN,MRJ,SD_STY,SD_LIB,MW,REF_STY,STY_SD
44133,CON_REF,CON_STY,RH,CON_CTR,BE,CON_SD,LK,SD_CON,REF_STY,STY_REF,DH,MRJ,SD_CTR,STY_SD,SD_STY,MW,SD_LIB,CO,ZN,JR
44134,DH,CON_REF,REF_STY,CON_CTR,CON_STY,RH,BE,LK,STY_REF,CON_SD,SD_CON,SD_CTR,SD_STY,MRJ,STY_SD,MW,SD_LIB,CO,ZN,JR
44135,LK,CON_CTR,SD_CON,RH,CON_SD,CON_REF,CON_STY,STY_REF,SD_CTR,REF_STY,BE,STY_SD,DH,MRJ,SD_STY,MW,SD_LIB,CO,ZN,JR
