variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_312a,Approval,approval4_dist,% Strongly disapprove,Job approval — President Biden,46.78,80.92,13.85,33.68,97.59,4.1,82.78,50.02,30.62,16.31,5.43,45.1693
CC24_312b,Approval,approval4,Weighted mean,Job approval — U.S. Congress,3.076,3.0242,3.061,2.9039,3.2271,3.1679,3.2644,2.786,2.8941,3.2994,3.2843,3.0479
CC24_312b,Approval,approval4_dist,% Strongly approve,Job approval — U.S. Congress,2.54,1.85,2.24,4.89,0.52,1.95,1.66,7.35,4.28,0.4,0.38,3.018
CC24_312b,Approval,approval4_dist,% Somewhat approve,Job approval — U.S. Congress,20.68,20.77,22.04,28.63,15.14,19.01,13.79,30.94,26.89,12.62,12.41,21.978
CC24_312b,Approval,approval4_dist,% Somewhat disapprove,Job approval — U.S. Congress,43.42,50.49,43.07,37.67,45.45,39.33,41.0,37.48,43.97,43.61,45.62,42.1957
CC24_312b,Approval,approval4_dist,% Strongly disapprove,Job approval — U.S. Congress,33.36,26.89,32.64,28.8,38.89,39.71,43.55,24.23,24.86,43.37,41.59,32.8045
CC24_312c,Approval,approval4,Weighted mean,Job approval — U.S. Supreme Court,2.8519,2.214,3.3809,2.9346,1.9229,3.6724,2.519,2.4258,2.9531,3.7648,3.8393,2.8572
CC24_312c,Approval,approval4_dist,% Strongly approve,Job approval — U.S. Supreme Court,11.79,21.92,2.47,6.85,28.44,1.2,12.73,19.31,9.36,0.34,0.09,10.787
CC24_312c,Approval,approval4_dist,% Somewhat approve,Job approval — U.S. Supreme Court,30.14,47.65,15.38,29.08,56.18,5.06,45.41,39.08,25.73,4.1,2.77,30.4165
CC24_312c,Approval,approval4_dist,% Somewhat disapprove,Job approval — U.S. Supreme Court,19.16,17.54,23.75,27.83,10.04,19.04,19.1,21.33,25.15,14.28,10.27,21.092
CC24_312c,Approval,approval4_dist,% Strongly disapprove,Job approval — U.S. Supreme Court,38.91,12.89,58.4,36.24,5.34,74.7,22.77,20.28,39.76,81.27,86.87,37.7056
pew_churatd,Religion,ordinal,Weighted mean,Church attendance (1=More than once/week … 6=Never),4.3047,3.8983,4.8238,3.9597,3.8532,4.8051,4.1155,3.7676,4.3379,5.2493,5.166,4.256
pew_churatd,Religion,ordinal_dist,% More than once/week,Church attendance (1=More than once/week … 6=Never),6.93,9.68,2.3,10.57,11.64,2.87,7.99,10.82,4.94,0.79,0.87,7.2549
pew_churatd,Religion,ordinal_dist,% Once/week,Church attendance (1=More than once/week … 6=Never),16.81,21.32,9.45,20.57,22.47,11.07,19.62,24.28,17.57,5.72,6.59,17.2832
pew_churatd,Religion,ordinal_dist,% 1–2x/month,Church attendance (1=More than once/week … 6=Never),6.59,8.21,5.53,7.41,6.1,5.64,6.91,8.66,7.11,3.13,3.91,6.882
pew_churatd,Religion,ordinal_dist,% Few times/year,Church attendance (1=More than once/week … 6=Never),13.26,15.41,13.21,13.8,14.18,11.04,13.52,14.14,13.22,8.65,10.22,13.4971
pew_churatd,Religion,ordinal_dist,% Seldom,Church attendance (1=More than once/week … 6=Never),21.34,21.04,25.3,19.08,19.92,21.87,22.2,17.78,23.44,21.56,20.55,21.3539
pew_churatd,Religion,ordinal_dist,% Never,Church attendance (1=More than once/week … 6=Never),35.06,24.34,44.2,28.57,25.68,47.51,29.75,24.32,33.71,60.15,57.87,33.7255
pew_religimp,Religion,ordinal,Weighted mean,Importance of religion (1=Very important … 4=Not at all important),2.2895,1.8674,2.6814,2.0918,1.8132,2.7807,2.0313,1.9027,2.1934,3.2743,3.2704,2.2489
pew_religimp,Religion,ordinal_dist,% Very important,Importance of religion (1=Very important … 4=Not at all important),36.11,48.48,19.72,42.43,53.48,20.59,43.65,49.94,36.93,9.77,10.23,36.8094
pew_religimp,Religion,ordinal_dist,% Somewhat important,Importance of religion (1=Very important … 4=Not at all important),23.67,27.37,25.8,25.18,23.18,20.7,26.05,22.8,26.69,12.29,14.27,24.5084
pew_religimp,Religion,ordinal_dist,% Not too important,Importance of religion (1=Very important … 4=Not at all important),15.38,13.08,21.12,13.17,11.88,18.76,13.82,14.31,16.48,18.67,13.71,15.6676
pew_religimp,Religion,ordinal_dist,% Not at all important,Importance of religion (1=Very important … 4=Not at all important),24.84,11.07,33.37,19.22,11.46,39.95,16.48,12.95,19.9,59.27,61.78,23.0165
pew_bornagain,Religion,binary,% Supporting,Born-again or evangelical Christian,31.2824,42.5602,19.1665,37.7053,47.6868,14.1411,39.8736,43.0441,29.7182,7.2874,4.2843,32.3666
ideo5,Demographics,ordinal,Weighted mean,Ideological self-identification (1=Very Liberal … 5=Very Conservative),3.0532,3.8076,2.4795,2.9469,4.2101,2.1897,3.7281,3.3999,2.996,1.5715,1.6147,3.0764
ideo5,Demographics,ordinal_dist,% Very Liberal,Ideological self-identification (1=Very Liberal … 5=Very Conservative),12.68,1.19,14.0,7.75,0.47,21.77,2.89,4.27,5.15,57.11,51.44,9.8965
ideo5,Demographics,ordinal_dist,% Liberal,Ideological self-identification (1=Very Liberal … 5=Very Conservative),17.76,3.13,34.17,18.1,0.52,41.02,3.55,9.4,20.65,30.06,35.97,17.946
ideo5,Demographics,ordinal_dist,% Moderate,Ideological self-identification (1=Very Liberal … 5=Very Conservative),34.4,32.22,43.41,51.41,18.38,34.22,35.05,41.62,50.06,11.78,12.35,38.4578
ideo5,Demographics,ordinal_dist,% Conservative,Ideological self-identification (1=Very Liberal … 5=Very Conservative),21.89,40.64,6.71,17.17,38.82,2.44,34.9,31.49,17.71,0.68,0.17,22.0133
ideo5,Demographics,ordinal_dist,% Very Conservative,Ideological self-identification (1=Very Liberal … 5=Very Conservative),13.27,22.82,1.7,5.56,41.82,0.55,23.62,13.23,6.43,0.38,0.07,11.6858
CC24_330a,Demographics,ordinal,Weighted mean,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),4.1069,5.3683,3.1107,3.8995,6.0216,2.619,5.2187,4.6484,3.9842,1.7912,1.8149,4.1267
CC24_330a,Demographics,ordinal_dist,% Very Liberal,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),11.37,1.34,12.02,7.25,0.09,19.88,2.13,4.53,4.23,51.6,46.84,8.9458
CC24_330a,Demographics,ordinal_dist,% Liberal,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),13.83,1.76,25.7,12.61,0.41,32.28,2.48,6.69,14.67,28.05,33.38,13.5145
CC24_330a,Demographics,ordinal_dist,% Somewhat Liberal,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),9.49,2.83,18.72,11.68,0.28,21.18,3.2,7.06,11.96,10.6,11.85,10.3724
CC24_330a,Demographics,ordinal_dist,% Moderate,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),25.52,23.33,32.97,41.28,10.58,22.15,26.82,30.67,40.86,9.32,7.48,28.7912
CC24_330a,Demographics,ordinal_dist,% Somewhat Conservative,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),10.06,15.62,5.52,11.13,13.08,2.44,16.61,14.91,10.32,0.22,0.31,10.7627
CC24_330a,Demographics,ordinal_dist,% Conservative,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),17.31,33.79,3.44,10.69,36.2,1.38,26.45,24.47,11.83,0.21,0.09,16.6847
CC24_330a,Demographics,ordinal_dist,% Very Conservative,Ideology self-placement 7-pt (1=Very Liberal … 7=Very Conservative),12.42,21.33,1.62,5.36,39.35,0.69,22.31,11.67,6.14,0.0,0.05,10.9265
pid3,Demographics,categorical_dist,% Democrat,Party identification (3-point),34.18,10.32,54.02,35.88,1.18,68.92,9.67,25.34,44.73,61.79,74.47,33.5788
pid3,Demographics,categorical_dist,% Republican,Party identification (3-point),29.97,58.32,6.98,17.04,59.66,3.63,45.82,43.8,26.34,0.02,0.16,29.0057
pid3,Demographics,categorical_dist,% Independent,Party identification (3-point),27.28,25.11,29.84,29.35,30.61,24.11,32.7,26.88,25.43,24.82,19.74,28.0463
pid3,Demographics,categorical_dist,% Other,Party identification (3-point),4.02,3.46,2.32,4.69,7.19,2.08,5.88,1.59,1.72,7.8,5.55,3.681
pid3,Demographics,categorical_dist,% Not sure,Party identification (3-point),4.55,2.79,6.85,13.03,1.36,1.26,5.93,2.39,1.78,5.58,0.07,5.6885
gender4,Demographics,categorical_dist,% Man,Gender,48.62,48.95,44.62,39.27,63.64,51.95,51.21,54.4,46.29,32.81,53.05,47.5836
gender4,Demographics,categorical_dist,% Woman,Gender,50.7,50.85,54.82,60.37,36.1,47.8,48.69,45.48,53.68,61.35,45.13,51.9522
gender4,Demographics,categorical_dist,% Non-binary,Gender,0.56,0.08,0.54,0.36,0.0,0.19,0.06,0.03,0.02,5.62,1.18,0.3957
gender4,Demographics,categorical_dist,% Other,Gender,0.12,0.12,0.01,0.0,0.25,0.06,0.04,0.09,0.01,0.21,0.64,0.066
race,Demographics,categorical_dist,% White,Race/ethnicity,67.25,78.39,56.7,43.36,81.17,69.36,70.24,66.18,69.81,65.87,76.31,63.8957
race,Demographics,categorical_dist,% Black,Race/ethnicity,11.64,5.96,16.39,27.29,1.12,12.02,9.48,11.87,12.53,10.48,5.65,13.751
race,Demographics,categorical_dist,% Hispanic,Race/ethnicity,9.61,6.69,13.07,15.12,5.31,9.22,8.26,9.72,9.2,10.33,8.45,10.4066
race,Demographics,categorical_dist,% Asian,Race/ethnicity,4.27,4.05,6.23,5.14,1.87,4.54,2.79,4.37,5.35,4.22,3.04,4.5183
race,Demographics,categorical_dist,% Native American,Race/ethnicity,1.15,1.05,0.72,1.65,2.22,0.54,1.71,1.42,0.46,1.04,0.1,1.197
race,Demographics,categorical_dist,% Multiracial,Race/ethnicity,3.99,2.3,5.21,5.41,4.12,2.85,3.91,4.0,1.79,6.64,4.97,4.1151
race,Demographics,categorical_dist,% Other,Race/ethnicity,1.73,1.39,1.36,1.51,4.06,1.18,3.18,1.86,0.68,0.67,0.95,1.7353
race,Demographics,categorical_dist,% Middle Eastern,Race/ethnicity,0.35,0.15,0.31,0.52,0.15,0.29,0.43,0.58,0.17,0.75,0.52,0.3759
educ,Demographics,categorical_dist,% No HS,Education level,6.31,7.16,5.64,11.15,5.14,2.35,7.08,7.2,7.33,4.51,1.1,6.8591
educ,Demographics,categorical_dist,% HS grad,Education level,29.15,34.29,25.93,34.98,25.25,20.7,34.32,36.29,34.25,20.79,11.54,30.6697
educ,Demographics,categorical_dist,% Some college,Education level,19.87,17.9,22.35,20.26,20.04,18.35,22.44,17.61,17.03,24.03,19.68,20.0992
educ,Demographics,categorical_dist,% 2-year degree,Education level,10.1,10.31,10.93,10.63,10.27,10.11,10.39,9.9,10.44,7.96,7.48,10.3303
educ,Demographics,categorical_dist,% 4-year degree,Education level,21.46,19.68,21.27,15.43,26.01,26.94,17.48,18.49,19.06,27.15,31.9,20.075
educ,Demographics,categorical_dist,% Post-grad,Education level,13.12,10.67,13.87,7.54,13.29,21.54,8.3,10.51,11.89,15.55,28.29,11.9647
urbancity,Demographics,categorical_dist,% City,Type of area (1=City … 4=Rural),26.82,20.47,30.68,36.28,15.88,29.7,23.05,27.24,28.35,30.0,32.58,27.8058
urbancity,Demographics,categorical_dist,% Suburb,Type of area (1=City … 4=Rural),39.93,41.11,41.71,33.11,41.11,42.24,34.56,37.7,41.41,46.91,43.57,38.7463
urbancity,Demographics,categorical_dist,% Town,Type of area (1=City … 4=Rural),12.55,12.43,12.63,11.34,12.89,13.17,14.71,13.12,12.01,11.37,11.38,12.7305
urbancity,Demographics,categorical_dist,% Rural area,Type of area (1=City … 4=Rural),20.18,25.64,13.97,18.51,29.66,14.56,27.18,21.44,18.04,11.32,12.1,20.1255
urbancity,Demographics,categorical_dist,% Other,Type of area (1=City … 4=Rural),0.52,0.36,1.0,0.76,0.46,0.33,0.5,0.5,0.2,0.4,0.37,0.5918
region,Demographics,categorical_dist,% Northeast,Region,16.92,15.61,18.26,12.55,13.91,22.05,15.9,14.25,20.61,18.05,24.99,16.2892
region,Demographics,categorical_dist,% Midwest,Region,20.85,22.64,18.96,17.41,22.5,20.73,21.93,22.31,20.7,21.01,20.46,20.5507
region,Demographics,categorical_dist,% South,Region,38.92,42.86,36.83,46.73,39.05,29.32,37.98,44.17,38.21,37.83,24.32,39.9103
region,Demographics,categorical_dist,% West,Region,23.31,18.89,25.96,23.31,24.55,27.9,24.19,19.26,20.48,23.11,30.23,23.2508
age,Demographics,continuous,Median,"Age (years, derived from birth year)",50.0,59.0,43.0,38.0,60.0,55.0,46.0,51.0,62.0,33.0,41.0,47.9404
age,Demographics,continuous,Q25,"Age (years, derived from birth year)",34.0,43.0,29.0,27.0,44.0,39.0,34.0,33.0,51.0,25.0,29.0,33.8511
age,Demographics,continuous,Q75,"Age (years, derived from birth year)",64.0,68.0,60.0,53.0,67.0,67.0,60.0,64.0,70.0,43.0,58.0,61.1409
faminc_new,Demographics,ordinal,Weighted mean,Family income,6.82,6.902,6.7074,5.4489,7.7629,7.6663,6.4086,6.5223,6.7859,6.654,8.1686,6.5971
faminc_new,Demographics,ordinal_dist,% <$10k,Family income,6.25,3.81,6.4,15.33,2.48,2.98,8.93,5.69,2.43,9.0,4.16,7.3958
faminc_new,Demographics,ordinal_dist,% $10k–20k,Family income,7.11,6.69,7.87,9.58,4.84,4.86,6.69,8.35,8.5,9.21,3.68,7.4292
faminc_new,Demographics,ordinal_dist,% $20k–30k,Family income,10.25,10.25,12.25,13.41,7.77,7.82,10.15,11.65,9.76,8.67,6.63,10.9376
faminc_new,Demographics,ordinal_dist,% $30k–40k,Family income,9.19,9.79,8.47,9.74,8.56,8.34,9.1,10.5,10.63,9.81,5.87,9.2816
faminc_new,Demographics,ordinal_dist,% $40k–50k,Family income,7.97,8.73,8.25,7.54,7.01,8.49,7.8,7.07,10.68,6.81,6.22,7.9425
faminc_new,Demographics,ordinal_dist,% $50k–60k,Family income,8.89,9.23,8.08,10.34,7.83,7.86,10.44,10.08,9.05,7.81,6.78,9.2304
faminc_new,Demographics,ordinal_dist,% $60k–70k,Family income,6.76,7.59,6.83,5.68,6.65,7.01,7.54,6.55,7.04,5.54,6.0,6.801
faminc_new,Demographics,ordinal_dist,% $70k–80k,Family income,7.26,7.62,7.26,5.6,7.14,8.16,6.67,8.0,7.84,6.46,8.42,7.1122
faminc_new,Demographics,ordinal_dist,% $80k–100k,Family income,9.26,10.56,8.12,5.95,11.48,9.8,9.77,9.27,10.15,7.48,10.29,8.8292
faminc_new,Demographics,ordinal_dist,% $100k–120k,Family income,7.59,7.13,7.05,5.55,10.07,8.5,8.53,6.08,6.43,8.84,10.14,7.2125
faminc_new,Demographics,ordinal_dist,% $120k–150k,Family income,8.01,8.53,7.18,4.47,11.16,9.71,7.2,6.66,7.03,8.31,12.1,7.3479
faminc_new,Demographics,ordinal_dist,% $150k–200k,Family income,5.79,5.41,5.44,3.23,8.02,7.87,4.25,5.54,5.07,6.12,9.72,5.2735
faminc_new,Demographics,ordinal_dist,% $200k–250k,Family income,2.64,2.24,2.91,1.76,3.18,3.79,1.41,1.94,2.79,3.33,4.6,2.3809
faminc_new,Demographics,ordinal_dist,% $250k–350k,Family income,1.75,1.23,2.2,0.75,1.54,3.28,0.71,1.77,1.77,1.72,4.03,1.598
faminc_new,Demographics,ordinal_dist,% $350k–500k,Family income,0.8,0.71,1.24,0.61,1.37,0.87,0.61,0.32,0.52,0.67,0.9,0.7681
faminc_new,Demographics,ordinal_dist,% $500k+,Family income,0.49,0.51,0.46,0.47,0.91,0.64,0.2,0.52,0.31,0.2,0.46,0.4652
marstat,Demographics,categorical_dist,% Married,Marital status,46.62,56.21,37.5,34.18,63.14,49.07,45.49,47.47,52.85,28.97,43.93,44.4916
marstat,Demographics,categorical_dist,% Separated,Marital status,1.8,1.62,1.95,2.59,1.32,0.96,2.97,1.45,2.28,1.41,1.08,1.9396
marstat,Demographics,categorical_dist,% Divorced,Marital status,10.17,11.2,9.5,8.94,9.81,11.74,11.14,11.38,12.82,6.71,6.42,10.3243
marstat,Demographics,categorical_dist,% Widowed,Marital status,5.39,7.84,4.13,4.04,5.58,5.39,4.97,5.75,8.86,1.94,2.77,5.2232
marstat,Demographics,categorical_dist,% Never married,Marital status,30.45,19.45,39.14,42.32,16.92,28.22,29.12,29.08,18.24,53.03,40.82,32.0321
marstat,Demographics,categorical_dist,% Domestic/civil partnership,Marital status,5.57,3.68,7.78,7.92,3.23,4.62,6.31,4.86,4.96,7.94,4.99,5.9864
child18,Demographics,binary,% Supporting,Children under 18 in household,21.8211,19.4741,23.0216,29.7865,18.7309,17.7389,29.0282,22.3617,15.017,19.5257,18.8446,23.5223
numchildren,Demographics,continuous,Median,Number of children,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.1741
numchildren,Demographics,continuous,Q25,Number of children,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
numchildren,Demographics,continuous,Q75,Number of children,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.1833
ownhome,Demographics,categorical_dist,% Own,Home ownership,67.25,76.48,59.37,52.04,83.92,70.95,65.49,67.83,75.76,50.19,64.72,64.8263
ownhome,Demographics,categorical_dist,% Rent,Home ownership,29.44,21.42,35.31,43.79,13.92,26.89,30.75,30.0,23.04,43.78,30.44,31.6856
ownhome,Demographics,categorical_dist,% Other,Home ownership,3.31,2.1,5.32,4.17,2.16,2.16,3.76,2.18,1.2,6.03,4.84,3.4892
immstat,Demographics,categorical_dist,"% Immigrant, naturalized",Immigration background,5.63,5.09,6.18,7.81,3.2,5.15,4.07,8.73,6.81,4.79,3.73,6.0129
immstat,Demographics,categorical_dist,"% Immigrant, not citizen",Immigration background,2.25,0.88,3.38,4.63,0.53,2.26,1.88,1.84,2.14,3.59,1.72,2.5357
immstat,Demographics,categorical_dist,"% US-born, parent immigrant",Immigration background,10.73,8.13,14.04,13.44,7.72,10.61,9.57,10.99,8.25,14.73,10.75,11.2616
immstat,Demographics,categorical_dist,"% US-born, grandparent immigrant",Immigration background,17.86,20.42,15.43,10.84,23.59,22.23,15.09,14.65,23.84,13.24,21.23,16.3588
immstat,Demographics,categorical_dist,% 3+ gen US-born,Immigration background,63.53,65.48,60.97,63.28,64.97,59.74,69.4,63.8,58.96,63.64,62.57,63.8324
sexuality,Demographics,categorical_dist,% Heterosexual/straight,Sexual orientation,87.04,95.42,82.48,85.51,95.4,84.42,90.88,93.78,93.25,58.23,70.34,87.7036
sexuality,Demographics,categorical_dist,% Lesbian/gay woman,Sexual orientation,1.21,0.39,1.72,1.39,0.04,2.05,0.54,0.37,1.06,3.42,3.17,1.1424
sexuality,Demographics,categorical_dist,% Gay man,Sexual orientation,2.8,0.91,4.62,1.9,1.05,5.98,1.04,1.7,3.27,4.43,6.66,2.6496
sexuality,Demographics,categorical_dist,% Bisexual,Sexual orientation,5.65,1.62,7.13,6.42,2.03,4.92,4.32,2.39,1.25,23.45,14.47,5.1803
sexuality,Demographics,categorical_dist,% Other,Sexual orientation,1.52,0.51,1.15,1.98,0.15,1.35,1.18,1.07,0.46,7.29,3.77,1.3814
sexuality,Demographics,categorical_dist,% Prefer not to say,Sexual orientation,1.79,1.16,2.89,2.79,1.33,1.29,2.04,0.68,0.71,3.17,1.58,1.9405
employ,Employment & Labor,categorical_dist,% Full-time,Employment status,38.26,34.54,37.9,37.17,41.93,38.15,38.52,37.94,33.99,40.7,50.32,37.5559
employ,Employment & Labor,categorical_dist,% Part-time,Employment status,10.8,9.83,11.62,13.18,7.81,9.72,11.95,12.49,9.12,12.72,9.13,11.4148
employ,Employment & Labor,categorical_dist,% Temporarily laid off,Employment status,0.82,0.39,1.38,1.7,0.4,0.52,0.67,1.12,0.14,0.34,1.13,0.9642
employ,Employment & Labor,categorical_dist,% Unemployed,Employment status,8.1,5.65,8.92,14.2,5.59,5.79,7.98,7.89,3.38,15.07,7.4,8.7452
employ,Employment & Labor,categorical_dist,% Retired,Employment status,22.79,32.21,17.28,11.38,28.85,29.81,17.75,23.85,39.84,5.72,13.35,21.1849
employ,Employment & Labor,categorical_dist,% Permanently disabled,Employment status,6.28,6.99,6.31,6.58,5.42,5.12,8.49,6.05,6.81,5.39,3.8,6.5599
employ,Employment & Labor,categorical_dist,% Homemaker,Employment status,6.22,7.04,6.3,6.91,6.21,4.56,9.05,5.8,3.75,6.06,3.53,6.652
employ,Employment & Labor,categorical_dist,% Student,Employment status,4.58,1.81,7.49,6.23,2.01,4.54,2.97,3.32,1.21,11.26,8.83,4.7062
employ,Employment & Labor,categorical_dist,% Other,Employment status,2.14,1.55,2.81,2.67,1.78,1.79,2.61,1.54,1.75,2.74,2.5,2.2229
union,Employment & Labor,categorical_dist,% Current member,Labor union membership,5.75,4.1,6.41,4.39,5.51,8.03,4.58,5.4,6.69,7.14,9.27,5.4366
union,Employment & Labor,categorical_dist,% Former member,Labor union membership,16.02,16.9,15.76,9.13,22.22,21.62,14.3,12.79,19.1,11.25,18.3,14.926
union,Employment & Labor,categorical_dist,% Never member,Labor union membership,78.23,79.0,77.83,86.48,72.28,70.35,81.12,81.81,74.22,81.61,72.43,79.6376
unionhh,Employment & Labor,categorical_dist,% Currently member,Household union membership,6.42,4.99,8.18,5.44,4.94,7.39,8.37,5.37,6.06,6.12,9.14,6.5527
unionhh,Employment & Labor,categorical_dist,% Formerly member,Household union membership,10.65,11.32,9.46,5.77,13.82,15.31,8.28,10.06,12.41,9.28,13.13,9.8425
unionhh,Employment & Labor,categorical_dist,% Never member,Household union membership,75.05,78.44,72.73,73.4,78.25,71.12,74.73,78.09,76.93,71.99,70.83,74.7533
unionhh,Employment & Labor,categorical_dist,% Not sure,Household union membership,7.89,5.25,9.63,15.38,2.98,6.19,8.61,6.48,4.6,12.62,6.9,8.8493
hadjob,Employment & Labor,binary,% Supporting,Had a job in the past 5 years (% Yes),44.9808,40.4569,46.7077,53.1052,40.4042,41.8414,43.6933,39.7047,39.5172,60.5504,56.8773,45.2453
gigwork,Employment & Labor,binary,% Supporting,Gig / freelance work (% Yes),17.4966,13.524,19.9345,27.1204,9.5747,12.0277,20.7645,21.591,11.3333,24.3313,14.4008,19.2731
investor,Employment & Labor,binary,% Supporting,Owns stocks or mutual funds (% Yes),43.1723,45.0794,40.0528,27.9123,53.3791,56.3547,36.5457,40.5127,46.0139,35.9215,58.1696,40.5697
milstat_1,Demographics,binary,% Supporting,Currently serving in military (% Yes),0.5149,0.081,0.3496,1.1736,0.5782,0.1807,1.1428,1.1244,0.1331,0.1263,0.2937,0.6335
milstat_3,Demographics,binary,% Supporting,Previously served in military (% Yes),9.4919,13.5638,6.6521,5.5362,18.0805,7.9847,9.5049,8.7491,11.9233,3.0464,4.2875,8.7111
presvote20post,Voting History,categorical_dist,% Biden,2020 Presidential vote,40.12,11.86,61.77,37.88,1.7,85.4,9.75,33.2,56.57,70.51,88.66,38.9287
presvote20post,Voting History,categorical_dist,% Trump,2020 Presidential vote,35.84,69.38,6.73,16.33,89.37,2.8,58.22,41.87,27.29,0.42,0.4,33.1235
presvote20post,Voting History,categorical_dist,% Jorgensen,2020 Presidential vote,0.89,1.2,1.15,1.15,0.72,0.4,1.03,1.07,0.53,0.3,0.17,1.0018
presvote20post,Voting History,categorical_dist,% Hawkins,2020 Presidential vote,0.26,0.09,0.42,0.16,0.02,0.22,0.13,0.01,0.09,0.71,1.35,0.2051
presvote20post,Voting History,categorical_dist,% Other,2020 Presidential vote,0.48,0.42,0.37,0.44,0.4,0.27,0.55,0.76,0.58,0.55,0.84,0.4625
presvote20post,Voting History,categorical_dist,% Did not vote,2020 Presidential vote,22.42,17.04,29.56,44.03,7.8,10.91,30.32,23.09,14.93,27.51,8.58,26.2749
presvote16post,Voting History,categorical_dist,% Clinton,2016 Presidential vote,29.16,8.07,44.66,26.43,1.98,67.36,6.02,23.94,41.77,44.53,67.81,28.2246
presvote16post,Voting History,categorical_dist,% Trump,2016 Presidential vote,31.95,61.68,7.04,13.41,77.26,4.6,47.69,38.35,28.85,1.47,0.52,29.2151
presvote16post,Voting History,categorical_dist,% Johnson,2016 Presidential vote,2.55,2.3,2.98,1.9,2.59,2.79,3.26,2.66,2.27,2.4,2.45,2.6033
presvote16post,Voting History,categorical_dist,% Stein,2016 Presidential vote,1.2,0.34,1.2,1.74,0.34,1.67,0.58,0.87,0.91,3.47,3.03,1.1266
presvote16post,Voting History,categorical_dist,% McMullin,2016 Presidential vote,0.47,0.55,0.47,0.33,0.61,0.55,0.43,0.43,0.7,0.39,0.13,0.4562
presvote16post,Voting History,categorical_dist,% Other,2016 Presidential vote,1.19,1.1,1.3,1.26,1.32,1.18,1.23,1.3,0.95,0.96,1.02,1.2191
presvote16post,Voting History,categorical_dist,% Did not vote,2016 Presidential vote,33.49,25.96,42.35,54.93,15.9,21.86,40.79,32.45,24.56,46.78,25.03,37.1561
gunown,Demographics,categorical_dist,% Personally owns,Personal gun ownership,27.39,39.18,18.17,18.83,54.91,17.01,37.32,28.97,22.66,9.79,11.38,26.7229
gunown,Demographics,categorical_dist,"% HH owns, not me",Personal gun ownership,12.64,12.78,13.26,14.22,8.48,11.63,15.34,13.01,11.45,16.42,8.27,13.3556
gunown,Demographics,categorical_dist,% No one in HH,Personal gun ownership,59.96,48.05,68.57,66.96,36.61,71.36,47.35,58.03,65.89,73.8,80.35,59.9281
