variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_303,Taxes & Economy,ordinal_dist,% Increased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),32.57,21.37,43.0,32.64,14.18,50.71,20.48,32.47,38.6,41.16,50.51,32.754
CC24_303,Taxes & Economy,ordinal_dist,% Stayed same,Price change past year (1=Increased a lot … 5=Decreased a lot),8.87,3.18,12.34,13.08,1.77,15.35,4.14,8.19,8.13,11.89,18.3,9.2155
CC24_303,Taxes & Economy,ordinal_dist,% Decreased somewhat,Price change past year (1=Increased a lot … 5=Decreased a lot),2.95,1.06,4.75,3.49,0.1,6.79,1.58,0.89,2.88,3.66,7.06,3.0262
CC24_303,Taxes & Economy,ordinal_dist,% Decreased a lot,Price change past year (1=Increased a lot … 5=Decreased a lot),0.5,0.41,0.22,1.27,0.32,0.17,1.26,0.5,0.06,0.1,0.34,0.6241
CC24_323a,Immigration,binary,% Supporting,Grant legal status to long-term undocumented immigrants,59.2294,30.2296,82.7113,75.1003,0.201,98.3073,12.3442,59.9703,90.3728,99.3685,99.9762,59.0863
CC24_323b,Immigration,binary,% Supporting,Increase border patrols,79.5714,99.4845,72.2397,64.8119,100.0,75.3309,89.1047,93.2013,99.966,18.338,40.627,80.0191
CC24_323d,Immigration,binary,% Supporting,Permanent status/pathway for Dreamers,70.4041,53.0032,98.3844,86.6809,0.282,99.9717,27.6665,72.2816,98.7846,100.0,100.0,72.3112
CC24_323f,Immigration,binary,% Supporting,Forgive up to $20k of student loan debt per person,54.1862,25.7075,79.6209,70.5324,5.2886,82.7126,30.2371,47.291,54.8215,95.8983,93.6354,56.0729
CC24_340f,Immigration,binary,% Supporting,Deny asylum for illegal border crossings,63.1681,99.8093,39.458,39.6282,100.0,29.4301,87.0888,82.0974,100.0,0.0336,0.1145,61.4709
CC24_321a,Police & Guns,binary,% Supporting,Ban assault rifles,59.5554,40.7492,80.9072,63.1428,6.4067,91.4934,27.0589,58.5513,81.0322,93.1937,96.5447,59.6295
CC24_321b,Police & Guns,binary,% Supporting,Easier concealed-carry permits,38.9291,54.9176,20.1692,36.5762,91.7736,7.2956,67.8831,44.222,21.1161,1.9058,1.1018,38.9573
CC24_321c,Police & Guns,binary,% Supporting,Require background checks on all gun sales,92.5023,93.8034,98.4429,88.7939,75.8481,99.5799,80.3952,94.8726,98.9825,99.6987,99.647,92.4109
CC24_321d,Police & Guns,binary,% Supporting,Increase police by 10%,56.7169,99.714,31.436,34.9589,100.0,35.5848,44.166,65.1423,99.9786,0.2707,0.3959,51.6596
CC24_321e,Police & Guns,binary,% Supporting,"Decrease police by 10%, increase other funding",26.7993,1.8792,39.5124,39.1405,0.1097,35.6377,19.5421,16.6141,1.3649,87.2103,75.5713,27.1539
CC24_321f,Police & Guns,binary,% Supporting,Increase spending on mental health & school safety,86.4629,86.5553,95.922,85.8456,54.075,98.4488,66.5524,90.4463,98.4488,99.0147,99.6192,86.8314
CC24_325,Abortion,continuous,Median,Abortion: how many weeks should it be legal,13.0,10.0,18.0,13.0,7.0,24.0,8.0,12.0,12.0,28.0,32.0,14.2841
CC24_325,Abortion,continuous,Q25,Abortion: how many weeks should it be legal,6.0,4.0,10.0,6.0,0.0,16.0,1.0,4.0,8.0,20.0,24.0,7.0115
CC24_325,Abortion,continuous,Q75,Abortion: how many weeks should it be legal,24.0,15.0,26.0,23.0,12.0,36.0,14.0,19.0,21.0,40.0,40.0,22.1856
