party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,197,122,67,386,22.36
1,Labor,162,92,36,290,16.8
4,Liberal,127,52,15,194,11.24
2,Solidarity,108,62,19,189,10.95
5,Populist,85,53,28,166,9.62
3,Nationalist,84,55,26,165,9.56
6,Civic Union Party,77,40,22,139,8.05
9,Progressive,51,20,3,74,4.29
7,Order and Opportunity Party,44,13,8,65,3.77
8,DSA,38,14,6,58,3.36
