respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30
34,LIB_1,LIB_2,LIB_3,CUP_1,CUP_2,CUP_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,POP_1,POP_2,POP_3,WFP_1,WFP_2,WFP_3,CON_1,CON_2,CON_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3,NAT_1,NAT_2,NAT_3
35,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
36,CUP_1,CUP_2,CUP_3,WFP_1,WFP_2,WFP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,POP_1,POP_2,POP_3,SD_1,SD_2,SD_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
37,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,CUP_1,CUP_2,CUP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,LIB_1,LIB_2,LIB_3,NAT_1,NAT_2,NAT_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
38,POP_1,POP_2,POP_3,STY_1,STY_2,STY_3,CON_1,CON_2,CON_3,SD_1,SD_2,SD_3,NAT_1,NAT_2,NAT_3,WFP_1,WFP_2,WFP_3,CUP_1,CUP_2,CUP_3,DSA_1,DSA_2,DSA_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3
39,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,LIB_1,LIB_2,LIB_3,PRG_1,PRG_2,PRG_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
40,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,DSA_1,DSA_2,DSA_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,LIB_1,LIB_2,LIB_3,CON_1,CON_2,CON_3,PRG_1,PRG_2,PRG_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
41,CON_1,CON_2,CON_3,NAT_1,NAT_2,NAT_3,POP_1,POP_2,POP_3,CUP_1,CUP_2,CUP_3,STY_1,STY_2,STY_3,SD_1,SD_2,SD_3,WFP_1,WFP_2,WFP_3,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,PRG_1,PRG_2,PRG_3
42,LIB_1,LIB_2,LIB_3,DSA_1,DSA_2,DSA_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CUP_1,CUP_2,CUP_3,PRG_1,PRG_2,PRG_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
43,PRG_1,PRG_2,PRG_3,DSA_1,DSA_2,DSA_3,LIB_1,LIB_2,LIB_3,SD_1,SD_2,SD_3,STY_1,STY_2,STY_3,CUP_1,CUP_2,CUP_3,POP_1,POP_2,POP_3,CON_1,CON_2,CON_3,WFP_1,WFP_2,WFP_3,NAT_1,NAT_2,NAT_3
