state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,35.59,13.07,28.97,8.06,14.3
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.12,18.98,35.75,14.0,11.15
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.61,7.68,26.75,17.52,19.44
5,AR,CON_1,CUP_1,CON_1,390,4,29.26,14.92,33.22,10.76,11.84
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.16,10.66,32.49,24.24,11.45
8,CO,LBR_1,LIB_1,LBR_1,785,4,31.41,8.8,24.66,24.9,10.23
9,CT,LBR_1,LIB_1,LBR_1,465,4,27.29,11.04,23.3,28.58,9.8
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.12,12.8,29.73,22.22,6.13
11,DC,LBR_1,CON_1,LBR_1,122,4,16.52,8.9,31.19,43.4,0.0
12,FL,LBR_1,CUP_1,LBR_1,3350,4,28.76,19.38,31.11,11.98,8.76
13,GA,LBR_1,CUP_1,LBR_1,1489,4,29.28,16.46,28.23,16.02,10.01
15,HI,LBR_1,LIB_1,LBR_1,153,4,24.97,11.34,34.98,24.15,4.56
16,ID,CON_1,CUP_1,CON_1,244,4,29.94,20.22,20.89,13.55,15.4
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.02,15.92,25.85,22.89,9.32
18,IN,CON_1,CUP_1,CON_1,978,4,25.83,18.71,24.78,15.65,15.03
19,IA,CON_1,CUP_1,CON_1,490,4,28.71,17.39,25.7,13.43,14.78
20,KS,CON_1,CUP_1,CON_1,385,3,31.14,13.83,22.35,20.82,11.86
21,KY,CON_1,CUP_1,CON_1,674,4,30.01,17.61,26.83,11.32,14.22
22,LA,CON_1,CUP_1,CON_1,493,4,30.5,19.34,22.07,11.89,16.19
23,ME,CON_1,LBR_1,LBR_1,236,4,26.39,7.2,27.48,30.82,8.11
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.33,9.97,34.56,24.88,8.26
25,MA,LBR_1,LIB_1,LBR_1,906,4,22.08,9.53,30.95,28.42,9.01
26,MI,CON_1,NAT_1,CON_1,1531,3,30.06,10.5,24.59,19.32,15.53
27,MN,CON_1,LBR_1,LBR_1,811,4,26.76,10.42,20.29,31.93,10.6
28,MS,CON_1,CUP_1,CON_1,349,4,29.05,18.48,35.28,5.5,11.7
29,MO,LBR_1,LIB_1,LBR_1,1047,4,29.86,12.2,32.11,13.28,12.55
30,MT,LBR_1,LIB_1,LBR_1,185,3,21.01,11.24,24.68,19.94,23.13
31,NE,LBR_1,CUP_1,LBR_1,286,4,23.83,19.35,32.75,13.66,10.41
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.52,8.69,30.81,19.68,12.29
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.41,15.25,31.53,22.95,6.86
34,NJ,LBR_1,LIB_1,LBR_1,1241,4,26.32,12.6,23.96,25.8,11.33
35,NM,LBR_1,LIB_1,LBR_1,309,4,21.63,17.01,36.4,17.86,7.1
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.67,12.26,32.02,22.62,9.43
37,NC,CON_1,NAT_1,CON_1,1444,3,31.02,12.67,24.29,17.79,14.22
38,ND,CON_1,CUP_1,CUP_1,90,4,33.02,22.48,23.75,16.75,4.0
39,OH,CON_1,CUP_1,CON_1,1978,4,31.31,14.9,25.99,15.05,12.75
40,OK,CON_1,CUP_1,CON_1,537,4,30.36,16.17,22.99,12.68,17.8
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.58,6.79,25.44,32.49,16.7
42,PA,LBR_1,LIB_1,LBR_1,2418,4,28.99,10.56,24.65,24.5,11.3
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.6,10.55,30.24,29.23,6.38
45,SC,CON_1,CUP_1,CON_1,736,4,30.65,13.79,30.7,11.47,13.39
46,SD,CON_1,CUP_1,CUP_1,137,4,25.38,21.1,25.07,13.97,14.47
47,TN,CON_1,NAT_1,CON_1,1065,4,38.91,14.33,20.9,7.78,18.08
48,TX,LBR_1,CUP_1,LBR_1,3392,4,29.48,17.25,31.37,11.04,10.87
49,UT,LBR_1,CUP_1,LBR_1,387,4,23.78,14.9,38.97,11.44,10.91
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.85,7.29,20.3,43.58,4.99
51,VA,LBR_1,LIB_1,LBR_1,1234,4,28.0,10.37,29.22,20.48,11.93
53,WA,LBR_1,LIB_1,LBR_1,1112,4,21.42,11.33,28.08,27.7,11.47
54,WV,CON_1,CUP_1,CON_1,335,4,32.47,18.88,29.03,8.35,11.27
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.12,11.85,25.22,20.18,11.63
56,WY,CON_1,CUP_1,CON_1,70,4,35.13,23.79,16.54,14.88,9.66
