party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,194,118,65,377,21.84
1,Labor,168,92,35,295,17.09
2,Solidarity,141,77,25,243,14.08
5,Populist,90,61,29,180,10.43
6,Civic Union Party,98,50,25,173,10.02
4,Liberal,105,48,17,170,9.85
3,Nationalist,63,38,20,121,7.01
8,DSA,44,13,3,60,3.48
7,Order and Opportunity Party,36,11,8,55,3.19
9,Progressive,34,15,3,52,3.01
