party,party_name,URBAN,SUBURBAN,RURAL,NATIONAL,pct_national
0,Conservative,195,118,65,378,21.9
1,Labor,168,92,35,295,17.09
2,Solidarity,140,77,25,242,14.02
5,Populist,90,61,29,180,10.43
6,Civic Union Party,97,50,25,172,9.97
4,Liberal,105,48,17,170,9.85
3,Nationalist,63,38,20,121,7.01
8,DSA,45,13,3,61,3.53
7,Order and Opportunity Party,36,11,8,55,3.19
9,Progressive,34,15,3,52,3.01
