state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_CUP_1,r1_pct_LBR_1,r1_pct_LIB_1,r1_pct_NAT_1
1,AL,CON_1,NAT_1,CON_1,661,4,36.71,12.47,25.99,8.87,15.97
2,AK,LBR_1,CUP_1,LBR_1,105,4,20.47,18.06,33.06,15.88,12.54
4,AZ,CON_1,NAT_1,CON_1,1159,4,28.43,7.1,24.5,19.2,20.77
5,AR,CON_1,CUP_1,CON_1,390,4,29.7,13.92,31.49,11.96,12.94
6,CA,LBR_1,LIB_1,LBR_1,3626,4,21.13,9.8,29.73,26.9,12.44
8,CO,CON_1,LBR_1,LBR_1,785,4,31.04,8.2,22.73,27.15,10.88
9,CT,CON_1,LBR_1,LBR_1,465,4,27.05,10.24,21.19,31.02,10.5
10,DE,LBR_1,LIB_1,LBR_1,164,4,29.47,11.91,27.97,23.97,6.69
11,DC,LBR_1,CON_1,LBR_1,122,4,16.04,8.13,29.04,46.79,0.0
12,FL,CON_1,CUP_1,CUP_1,3350,4,29.52,18.48,28.8,13.41,9.78
13,GA,LBR_1,LIB_1,LBR_1,1489,4,29.7,15.17,26.27,17.85,11.02
15,HI,LBR_1,LIB_1,LBR_1,153,4,25.15,11.04,32.83,26.06,4.91
16,ID,CON_1,CUP_1,CON_1,244,4,30.01,18.88,19.51,14.86,16.75
17,IL,LBR_1,LIB_1,LBR_1,1758,4,26.04,14.83,24.22,24.96,9.95
18,IN,CON_1,CUP_1,CON_1,978,4,26.17,17.29,22.83,17.28,16.42
19,IA,CON_1,CUP_1,CON_1,490,4,28.76,16.24,24.07,14.73,16.19
20,KS,CON_1,NAT_1,CON_1,385,3,31.39,12.4,20.37,22.95,12.88
21,KY,CON_1,CUP_1,CON_1,674,4,30.67,16.64,24.39,12.64,15.67
22,LA,CON_1,CUP_1,CON_1,493,4,30.63,18.19,19.87,13.38,17.93
23,ME,LIB_1,LBR_1,LBR_1,236,4,25.84,6.64,25.45,33.36,8.71
24,MD,LBR_1,LIB_1,LBR_1,791,4,22.3,9.18,32.06,27.47,8.99
25,MA,LIB_1,LBR_1,LBR_1,906,4,22.12,8.95,28.44,30.86,9.63
26,MI,CON_1,NAT_1,CON_1,1531,3,29.73,9.7,22.79,21.06,16.72
27,MN,LIB_1,LBR_1,LBR_1,811,4,26.16,9.54,18.6,34.41,11.29
28,MS,CON_1,CUP_1,CON_1,349,4,30.33,18.02,32.02,6.32,13.3
29,MO,CON_1,NAT_1,CON_1,1047,3,30.28,11.4,29.66,14.81,13.85
30,MT,CON_1,NAT_1,CON_1,185,4,20.96,10.21,22.04,21.77,25.02
31,NE,LBR_1,CUP_1,LBR_1,286,4,24.52,18.23,30.58,15.1,11.56
32,NV,LBR_1,LIB_1,LBR_1,573,4,28.83,7.89,28.19,21.73,13.37
33,NH,LBR_1,LIB_1,LBR_1,252,4,23.51,13.9,30.21,24.97,7.41
34,NJ,CON_1,LBR_1,LBR_1,1241,4,26.13,11.22,22.43,28.11,12.11
35,NM,LBR_1,LIB_1,LBR_1,309,4,22.26,15.93,33.92,20.02,7.87
36,NY,LBR_1,LIB_1,LBR_1,2585,4,23.55,11.47,29.96,24.9,10.12
37,NC,CON_1,NAT_1,CON_1,1444,3,31.01,11.72,22.36,19.63,15.27
38,ND,CON_1,CUP_1,CON_1,90,4,33.59,20.98,22.55,18.46,4.42
39,OH,CON_1,CUP_1,CON_1,1978,3,31.62,14.03,23.81,16.6,13.94
40,OK,CON_1,NAT_1,CON_1,537,4,30.78,15.18,20.75,13.84,19.44
41,OR,LIB_1,LBR_1,LBR_1,810,4,18.0,6.06,23.54,34.9,17.51
42,PA,CON_1,LBR_1,LBR_1,2418,4,28.88,9.77,22.62,26.69,12.03
44,RI,LBR_1,LIB_1,LBR_1,176,4,23.61,10.0,27.68,31.81,6.9
45,SC,CON_1,CUP_1,CON_1,736,4,31.05,12.92,28.53,12.73,14.77
46,SD,CON_1,CUP_1,CUP_1,137,4,25.76,19.72,23.16,15.36,16.0
47,TN,CON_1,NAT_1,CON_1,1065,4,39.17,13.59,18.96,8.59,19.69
48,TX,CON_1,CUP_1,CON_1,3392,4,30.05,16.4,29.07,12.39,12.1
49,UT,LBR_1,CUP_1,LBR_1,387,4,24.45,14.26,36.23,12.89,12.16
50,VT,LIB_1,LBR_1,LBR_1,105,4,23.14,6.61,18.23,46.78,5.24
51,VA,LBR_1,LIB_1,LBR_1,1234,4,27.85,9.64,26.99,22.57,12.94
53,WA,LIB_1,LBR_1,LBR_1,1112,4,21.07,10.45,26.12,30.17,12.19
54,WV,CON_1,CUP_1,CON_1,335,4,32.91,18.18,26.83,9.46,12.63
55,WI,LBR_1,LIB_1,LBR_1,1088,4,31.14,11.11,23.07,22.14,12.54
56,WY,CON_1,LBR_1,CON_1,70,3,35.58,22.24,15.34,16.3,10.54
