state_fips,state_abbr,winner_code,runner_up_code,condorcet_winner_code,n_respondents,n_irv_rounds,r1_pct_CON_1,r1_pct_LIB_1,r1_pct_POP_1,r1_pct_SD_1,r1_pct_STY_1
1,AL,STY_1,SD_1,STY_1,661,4,42.62,7.57,12.97,15.13,21.71
2,AK,SD_1,STY_1,STY_1,105,4,30.99,12.26,14.36,23.6,18.78
4,AZ,CON_1,POP_1,STY_1,1159,4,30.21,15.63,19.95,21.35,12.86
5,AR,CON_1,POP_1,STY_1,390,4,38.91,9.46,16.73,24.3,10.59
6,CA,SD_1,STY_1,STY_1,3626,4,20.25,21.02,15.46,23.74,19.54
8,CO,SD_1,LIB_1,STY_1,785,4,29.55,22.34,16.73,22.09,9.29
9,CT,SD_1,LIB_1,SD_1,465,4,25.44,26.07,18.0,19.7,10.79
10,DE,SD_1,LIB_1,SD_1,164,4,31.15,21.81,7.08,31.14,8.81
11,DC,SD_1,POP_1,SD_1,122,4,11.97,38.55,11.75,30.14,7.59
12,FL,SD_1,STY_1,STY_1,3350,4,35.85,11.19,10.66,21.42,20.88
13,GA,SD_1,STY_1,STY_1,1489,4,35.24,14.21,10.94,21.49,18.11
15,HI,SD_1,LIB_1,SD_1,153,4,28.39,24.5,12.1,27.35,7.66
16,ID,CON_1,POP_1,POP_1,244,4,38.17,11.97,21.02,17.92,10.91
17,IL,SD_1,LIB_1,SD_1,1758,4,28.11,21.13,13.67,25.84,11.25
18,IN,CON_1,STY_1,STY_1,978,4,38.6,15.04,12.5,19.04,14.82
19,IA,SD_1,STY_1,STY_1,490,4,37.77,12.73,11.78,23.55,14.16
20,KS,STY_1,LIB_1,STY_1,385,4,36.03,18.34,12.94,18.1,14.59
21,KY,CON_1,STY_1,STY_1,674,4,41.85,10.1,13.22,18.31,16.52
22,LA,CON_1,STY_1,STY_1,493,4,39.93,10.27,8.65,19.66,21.49
23,ME,SD_1,LIB_1,SD_1,236,4,23.61,27.26,18.55,21.69,8.89
24,MD,SD_1,LIB_1,SD_1,791,4,24.03,21.43,13.94,26.89,13.71
25,MA,SD_1,LIB_1,SD_1,906,4,27.34,26.29,9.54,26.52,10.33
26,MI,CON_1,POP_1,STY_1,1531,4,35.7,17.32,13.91,21.81,11.26
27,MN,CON_1,SD_1,SD_1,811,4,26.47,29.18,17.97,18.42,7.95
28,MS,STY_1,SD_1,STY_1,349,4,33.72,7.47,10.09,19.52,29.2
29,MO,SD_1,STY_1,STY_1,1047,4,36.24,11.75,11.63,22.83,17.55
30,MT,SD_1,STY_1,STY_1,185,4,35.78,17.48,12.17,19.44,15.14
31,NE,SD_1,STY_1,STY_1,286,4,32.32,11.73,15.12,24.18,16.64
32,NV,SD_1,STY_1,STY_1,573,4,29.67,17.91,14.55,21.9,15.96
33,NH,SD_1,LIB_1,SD_1,252,4,26.33,20.16,11.15,33.61,8.76
34,NJ,SD_1,LIB_1,SD_1,1241,4,28.09,23.21,13.85,24.01,10.84
35,NM,SD_1,STY_1,SD_1,309,4,27.08,15.5,13.1,29.75,14.58
36,NY,SD_1,STY_1,SD_1,2585,4,25.25,20.47,12.65,27.06,14.58
37,NC,CON_1,STY_1,STY_1,1444,4,35.12,16.33,14.68,18.36,15.51
38,ND,CON_1,POP_1,POP_1,90,4,28.83,14.42,24.19,23.84,8.72
39,OH,CON_1,STY_1,STY_1,1978,4,37.02,13.89,13.77,20.37,14.95
40,OK,STY_1,SD_1,STY_1,537,4,43.93,11.07,15.23,11.55,18.22
41,OR,SD_1,LIB_1,SD_1,810,4,23.03,29.25,16.57,24.27,6.88
42,PA,SD_1,LIB_1,STY_1,2418,4,32.96,22.35,13.46,21.32,9.91
44,RI,SD_1,LIB_1,SD_1,176,4,25.68,26.41,11.15,25.54,11.22
45,SC,SD_1,STY_1,STY_1,736,4,36.59,11.29,14.32,21.09,16.71
46,SD,STY_1,SD_1,STY_1,137,4,38.61,11.93,10.45,17.64,21.37
47,TN,CON_1,none,CON_1,1065,1,52.49,7.89,10.38,14.24,15.0
48,TX,SD_1,STY_1,STY_1,3392,4,34.84,10.15,11.43,21.13,22.45
49,UT,SD_1,STY_1,STY_1,387,4,27.81,9.75,15.59,26.6,20.25
50,VT,LIB_1,SD_1,SD_1,105,4,28.29,39.83,5.92,20.2,5.77
51,VA,SD_1,STY_1,STY_1,1234,4,33.83,18.1,10.81,24.75,12.5
53,WA,SD_1,LIB_1,SD_1,1112,4,21.31,25.13,14.74,28.37,10.45
54,WV,STY_1,SD_1,STY_1,335,4,40.11,7.01,13.41,16.64,22.84
55,WI,SD_1,POP_1,STY_1,1088,4,33.32,17.98,13.87,23.52,11.31
56,WY,SD_1,POP_1,POP_1,70,4,38.89,15.19,20.45,18.56,6.92
