state_fips,state_abbr,senator_code,senator_label,senator_party,senator_type,primary_cluster,secondary_cluster,total_weighted_respondents,n_candidates_in_race,n_finalists,finalist_CON_1_pct,finalist_CUP_1_pct,finalist_DSA_1_pct,finalist_NAT_1_pct,finalist_STY_1_pct,finalist_LBR_1_pct,finalist_LIB_1_pct,finalist_POP_1_pct,finalist_PRG_1_pct,finalist_OAO_1_pct,finalist_LIB_2_pct,finalist_CON_2_pct,finalist_PRG_2_pct
1,AL,CON_1,CON_1,CON,pure,0,,488.03,19,5,30.5348,12.6754,12.4603,14.5347,23.4349,,,,,,,,
2,AK,LBR_1,LBR_1,LBR,pure,1,,87.09,20,5,23.5413,18.205,,,18.932,22.627,14.2653,,,,,,
4,AZ,LBR_1,LBR_1,LBR,pure,1,,818.95,23,5,22.4956,,,17.7224,,18.7885,15.1178,10.8675,,,,,
5,AR,CON_1,CON_1,CON,pure,0,,283.81,22,5,24.4262,12.7995,,11.3593,,29.2838,,13.7931,,,,,
6,CA,LBR_1,LBR_1,LBR,pure,1,,2729.1,22,5,18.682,,,11.5497,18.6125,22.5454,21.8888,,,,,,
8,CO,LBR_1,LBR_1,LBR,pure,1,,587.67,21,5,30.5156,,,,,22.8558,15.2692,18.3884,11.0559,,,,
9,CT,CON_1,CON_1,CON,pure,0,,346.01,22,5,25.2132,,,,,19.9813,18.3823,19.5981,11.41,,,,
10,DE,LBR_1,LBR_1,LBR,pure,1,,151.52,20,5,31.9926,,,,9.0286,25.1372,16.6772,,,14.3481,,,
11,DC,LIB_1,LIB_1,LIB,pure,4,,84.76,19,5,,,,,,29.0394,30.9356,14.2203,13.8388,,0.0,,
12,FL,CON_1,CON_1,CON,pure,0,,2141.68,23,5,32.8784,16.4841,,,18.6325,19.1344,11.0103,,,,,,
13,GA,CON_1,CON_1,CON,pure,0,,1004.36,20,5,33.6495,12.2043,,,16.5443,19.7435,16.2813,,,,,,
15,HI,LBR_1,LBR_1,LBR,pure,1,,143.55,20,5,23.9713,,,,,27.5461,21.4596,13.1872,,11.6547,,,
16,ID,CON_1,CON_1,CON,pure,0,,227.7,20,5,23.1761,12.1307,,15.4526,,25.1576,,16.4666,,,,,
17,IL,LBR_1,LBR_1,LBR,pure,1,,1030.62,22,5,27.0825,14.3534,,,,20.9288,19.4926,12.7521,,,,,
18,IN,CON_1,CON_1,CON,pure,0,,688.58,22,5,22.5291,16.7259,,15.1154,14.3552,22.6514,,,,,,,
19,IA,CON_1,CON_1,CON,pure,0,,309.64,23,5,23.2877,12.7428,,14.9787,,19.326,11.8703,,,,,,
20,KS,CON_1,CON_1,CON,pure,0,,259.39,20,5,27.6025,,,11.4535,,17.179,19.8321,10.5573,,,,,
21,KY,CON_1,CON_1,CON,pure,0,,488.36,22,5,24.1501,13.3247,,13.7064,,16.5813,11.5064,,,,,,
22,LA,CON_1,CON_1,CON,pure,0,,346.49,19,5,25.3463,18.6383,,16.437,16.1883,17.0872,,,,,,,
23,ME,LIB_1,LIB_1,LIB,pure,4,,172.26,24,5,23.3503,,,,,22.0401,22.8159,19.6291,9.7568,,,,
24,MD,LBR_1,LBR_1,LBR,pure,1,,544.1,22,5,22.7387,,,,,24.8105,13.6368,13.5107,12.5482,,,,
25,MA,LBR_1,LBR_1,LBR,pure,1,,563.37,23,5,27.4128,,,,10.6849,23.432,17.5405,,12.5779,,,,
26,MI,CON_1,CON_1,CON,pure,0,,939.87,20,5,24.3496,,,15.2144,,21.6007,17.0431,13.0171,,,,,
27,MN,LIB_1,LIB_1,LIB,pure,4,,514.32,23,5,25.2292,,,,,16.1233,19.1964,19.5745,14.3872,,,,
28,MS,CON_1,CON_1,CON,pure,0,,288.46,19,5,25.1539,,,11.9168,28.6261,19.725,,,,12.5037,,,
29,MO,CON_1,CON_1,CON,pure,0,,650.39,21,5,28.601,,,12.6781,17.8396,21.7543,12.0796,,,,,,
30,MT,CON_1,CON_1,CON,pure,0,,181.4,22,5,23.6428,,,23.4,12.1583,17.3265,19.9967,,,,,,
31,NE,CON_1,CON_1,CON,pure,0,,200.95,22,5,22.8437,18.0963,,10.5733,,21.2966,12.7982,,,,,,
32,NV,CON_1,CON_1,CON,pure,0,,488.94,21,5,27.4373,,,12.2529,16.1213,20.385,19.0882,,,,,,
33,NH,LBR_1,LBR_1,LBR,pure,1,,187.71,22,5,17.7258,,,,,36.1923,,12.4139,13.8001,13.7876,,,
34,NJ,LBR_1,LBR_1,LBR,pure,1,,822.14,22,5,22.395,,,10.4914,,24.2771,22.926,10.4443,,,,,
35,NM,LBR_1,LBR_1,LBR,pure,1,,280.89,21,5,22.8741,15.4593,,,12.2926,26.3953,13.5329,,,,,,
36,NY,LBR_1,LBR_1,LBR,pure,1,,1614.08,23,5,24.2616,,,,10.9454,25.26,19.5309,12.3493,,,,,
37,NC,CON_1,CON_1,CON,pure,0,,1012.28,23,5,27.7909,,,13.3749,17.7363,17.3613,14.7118,,,,,,
38,ND,CON_1,CON_1,CON,pure,0,,76.88,22,5,29.5186,15.9231,,,,22.3061,16.9898,15.2624,,,,,
39,OH,CON_1,CON_1,CON,pure,0,,1194.53,22,5,27.3448,13.5755,,12.8992,,16.493,14.3261,,,,,,
40,OK,CON_1,CON_1,CON,pure,0,,420.51,23,5,24.9262,14.944,,17.7338,14.9393,,13.1701,,,,,,
41,OR,LIB_1,LIB_1,LIB,pure,4,,628.28,23,5,18.2607,,,16.8159,,23.1783,17.2662,,17.2305,,,,
42,PA,CON_1,CON_1,CON,pure,0,,1552.75,22,5,26.4819,,,10.2541,,22.2569,22.3746,10.6001,,,,,
44,RI,LIB_1,LIB_1,LIB,pure,4,,115.38,24,5,23.8114,,,,,22.5716,19.8707,10.6015,10.8026,,,,
45,SC,CON_1,CON_1,CON,pure,0,,500.9,21,5,26.7685,,,13.5861,12.8693,24.9996,,11.2716,,,,,
46,SD,CON_1,CON_1,CON,pure,0,,96.71,22,5,20.2979,18.8537,,14.687,17.3551,20.2311,,,,,,,
47,TN,CON_1,CON_1,CON,pure,0,,795.13,20,5,33.7029,14.7143,,17.8986,20.4825,,,,,,,0.0,
48,TX,CON_1,CON_1,CON,pure,0,,2391.97,22,5,24.9702,15.7798,,10.8554,19.7135,23.91,,,,,,,
