state_fips,state_abbr,total_weighted_respondents,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9,first_choice_CON_1,first_choice_CON_2,first_choice_CON_3,first_choice_LBR_1,first_choice_LBR_2,first_choice_LBR_3,first_choice_STY_1,first_choice_STY_2,first_choice_STY_3,first_choice_NAT_1,first_choice_NAT_2,first_choice_NAT_3,first_choice_LIB_1,first_choice_LIB_2,first_choice_LIB_3,first_choice_POP_1,first_choice_POP_2,first_choice_POP_3,first_choice_CUP_1,first_choice_CUP_2,first_choice_CUP_3,first_choice_DSA_1,first_choice_DSA_2,first_choice_DSA_3,first_choice_PRG_1,first_choice_PRG_2,first_choice_PRG_3,first_choice_OAO_1
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.05134306918117779,0.08093219321990816,0.008924319373204249,0.23882601578233156,0.0,0.0,0.06565666460930343,0.0,0.0,0.18664828083405638,0.0,0.0,0.11912549093144978,0.0,0.0,0.03236642727712718,0.0,0.0,0.09844318357174545,0.0,0.0,0.08771910528968313,0.0,0.0,0.10032662887625562,0.0,0.0,0.014306622138260491,0.0,0.0,0.05658158068978695
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.00971485166060195,0.03753411219940863,0.01959572488524763,0.1335974435704634,0.0,0.0,0.1963162441205861,0.0,0.0,0.17060507542460487,0.0,0.0,0.09347715803749698,0.0,0.0,0.09960217886846955,0.0,0.0,0.055030987378908394,0.0,0.0,0.18528379251568822,0.0,0.0,0.04200904744978187,0.0,0.0,0.01613391601106743,0.0,0.0,0.007944156622933164
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.038404560926773745,0.08463449432859818,0.05286580771290765,0.1974230374940452,0.0,0.0,0.10928335292149005,0.0,0.0,0.10617978750903902,0.0,0.0,0.1546881067827039,0.0,0.0,0.07869556844048552,0.0,0.0,0.11656560743486466,0.0,0.0,0.04438830093658451,0.0,0.0,0.08152630053777772,0.0,0.0,0.06716974947118627,0.0,0.0,0.04408018847182322
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.053657264099430814,0.06684442708702486,0.026810451077555184,0.2114104099620562,0.0,0.0,0.1710696881753011,0.0,0.0,0.08858513260376141,0.0,0.0,0.09670768063748442,0.0,0.0,0.04378528270606313,0.0,0.0,0.11633045457058779,0.0,0.0,0.09831282506972265,0.0,0.0,0.07663188097979252,0.0,0.0,0.037293069026486506,0.0,0.0,0.05987357626874428
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.05182695089301483,0.04173040152650292,0.056692502639135285,0.12482850063756147,0.0,0.0,0.17259865095520793,0.0,0.0,0.16583584619961442,0.0,0.0,0.08908860003778236,0.0,0.0,0.12173532489605832,0.0,0.0,0.08314922683496606,0.0,0.0,0.07099195807120848,0.0,0.0,0.03920616646019616,0.0,0.0,0.06877301316851686,0.0,0.0,0.06379271273888802
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.04485300019982803,0.058066326287839254,0.07616046099950477,0.2138869653429852,0.0,0.0,0.15587644104068799,0.0,0.0,0.07785454349867021,0.0,0.0,0.08165750979228445,0.0,0.0,0.11732101244481193,0.0,0.0,0.1201372773993721,0.0,0.0,0.042910745878751655,0.0,0.0,0.05321865071014959,0.0,0.0,0.0866077847438964,0.0,0.0,0.050529069148390365
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.05506605066691686,0.0437822970412402,0.06948588232009333,0.1874574342399462,0.0,0.0,0.14670357590614233,0.0,0.0,0.07507279268231273,0.0,0.0,0.08618950849484976,0.0,0.0,0.14567401373063243,0.0,0.0,0.10106904518900309,0.0,0.0,0.06960659366289933,0.0,0.0,0.03594368051672709,0.0,0.0,0.09248228187922349,0.0,0.0,0.059801073698263575
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.11644643197528778,0.03321602874883392,0.03302888850616142,0.24021796369487097,0.0,0.0,0.2182827823678476,0.0,0.0,0.08008195436911267,0.0,0.0,0.05365078320953071,0.0,0.0,0.08778625758039457,0.0,0.0,0.04310790137322062,0.0,0.0,0.07404886037922592,0.0,0.0,0.028117624455338025,0.0,0.0,0.03947874738006421,0.0,0.0,0.13522712519039465
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.0328215599638033,0.10860111170634042,0.10535040015377602,0.08271644008255255,0.0,0.0,0.2001360179815753,0.0,0.0,0.04823139531690117,0.0,0.0,0.0,0.0,0.0,0.26107236066448947,0.0,0.0,0.11753855389220162,0.0,0.0,0.048159935924382793,0.0,0.0,0.0880168940410691,0.0,0.0,0.10970907900829968,0.0,0.0,0.044419323088528355
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.05292674064562343,0.06477231792863565,0.02037369838579275,0.20807404993896647,0.0,0.0,0.13663674362570127,0.0,0.0,0.16396668034389245,0.0,0.0,0.0735827794119206,0.0,0.0,0.0657941855064803,0.0,0.0,0.08980625527375745,0.0,0.0,0.11326631110098742,0.0,0.0,0.06515540187151139,0.0,0.0,0.024994177728195902,0.0,0.0,0.05872341519858671
