state_fips,state_abbr,total_weight,share_CON,share_SD,share_STY,share_NAT,share_LIB,share_POP,share_CUP,share_DSA,share_PRG
1,AL,726.2080988810737,0.21400986939129282,0.10451760520763202,0.1866955363794408,0.10331023177648763,0.042596379348333366,0.11224229138151717,0.0954285047410057,0.08093219321990816,0.008924319373204249
2,AK,130.63833796477343,0.139841530748511,0.22178417812229934,0.14881396425512874,0.08782737055870161,0.08855899065198666,0.10221007980298957,0.1441191971151248,0.03753411219940863,0.01959572488524763
4,AZ,1160.105247484425,0.17235180868618027,0.11440321657872629,0.12102640534233211,0.14344007310766374,0.08093498175005079,0.1397502336323961,0.05218841793437102,0.08463449432859818,0.05286580771290765
5,AR,412.1819587199606,0.20270060820755673,0.16396866397448295,0.11393624349538935,0.08410199487883842,0.05413695693888265,0.1351332158288167,0.09871017441202212,0.06684442708702486,0.026810451077555184
6,CA,3966.1722756498943,0.12176687401019046,0.178026758698495,0.17574179815537525,0.08290218124656752,0.11757951358878774,0.09658607385088834,0.07714694539104257,0.04173040152650292,0.056692502639135285
8,CO,827.2852966943861,0.18910670262701276,0.1552328681613026,0.1047032810659465,0.07883453227166187,0.11206718727423697,0.13246302003280072,0.04851262107986626,0.058066326287839254,0.07616046099950477
9,CT,484.15451790141344,0.1737398086508952,0.14933139141690074,0.117519803509175,0.07056862349830512,0.1301957980613432,0.10655903095479449,0.08375131388033577,0.0437822970412402,0.06948588232009333
10,DE,216.9502428906061,0.19449754482719675,0.19752425057777825,0.10065841401322832,0.06235941695242482,0.08409332150759818,0.07068699318812852,0.10748870970336172,0.03321602874883392,0.03302888850616142
11,DC,117.35734890789057,0.09214338380169536,0.21947002765074833,0.09107690237515563,0.001338107855129681,0.20656132599727825,0.06324484706118738,0.07939233343488544,0.10860111170634042,0.10535040015377602
12,FL,3184.133278566863,0.18732610034137273,0.1436049463413344,0.17684529122695855,0.06590703077971587,0.0638480100780988,0.09686274229535301,0.1275331219771146,0.06477231792863565,0.02037369838579275
13,GA,1472.3908250832314,0.1854153116276501,0.16308445993572876,0.17120656454213182,0.0741349891001527,0.08626191909041724,0.096161569256301,0.1181168105539972,0.032859545272296536,0.0228991369417065
15,HI,203.14709000166366,0.17108405849938496,0.23147354641719498,0.11038188953400474,0.03539291021132822,0.15478440131547624,0.1072756776172039,0.05424136985515535,0.024620781399219263,0.020004037006609195
16,ID,325.3257376171863,0.20463126520678573,0.09963089124335596,0.09876664136983487,0.11802022446045173,0.06771348154331189,0.1682708938292832,0.11596533728371589,0.06327144299049374,0.031718537452086235
17,IL,1460.3318361668644,0.1694762314632719,0.14751637888936087,0.11122412586928143,0.07031022576289941,0.10912528356107526,0.09711397398545024,0.10621777000861982,0.06060214443856429,0.06251219316741254
18,IN,994.9890932957763,0.19892570421824254,0.13636087916115552,0.13516936118677372,0.10344310424846466,0.07687500326701606,0.11049083235029818,0.09935432945830594,0.05018115831488827,0.03537040712691661
19,IA,446.7912192181343,0.1851035748871191,0.14245954265550112,0.12618605839049882,0.10517091814089673,0.06169812839022732,0.10993831935396098,0.12063546253063327,0.06446609449542472,0.029204609693135538
20,KS,372.6996859218709,0.22446507011734318,0.10596213308116399,0.14493820019306228,0.08775738281608654,0.10685749925847142,0.1129607332276942,0.08264991536247564,0.06904442910607443,0.044070652524871176
21,KY,717.9252799112746,0.209003631360063,0.1337945980884959,0.14331458720242984,0.1087827235927458,0.05923365178830753,0.12367712866425966,0.0990247600465002,0.04607041760325513,0.025239929500905697
22,LA,508.4085817640956,0.19994036467489726,0.10549893831331408,0.1814434686659227,0.11725177546274677,0.045056229733150654,0.08350959929645116,0.14513511072845314,0.03384045810708984,0.04045439853676584
23,ME,243.15825432865347,0.13627169928320618,0.1479276504246746,0.08979900147531426,0.071515022923328,0.13464629505629583,0.1473827701274051,0.07705023713443568,0.07410430760383982,0.0695429376798816
24,MD,782.1392251325467,0.12924431813665244,0.17333833597108028,0.15313481656063535,0.05980420392820076,0.10175377624174871,0.1114442462153964,0.08228585229321687,0.04249874873948778,0.08341015124909797
25,MA,790.9676385842274,0.16071855092603785,0.1713470125723615,0.1124387123351679,0.06648887059408312,0.1306130543599223,0.08074429001337714,0.0533921385352189,0.0760755595849766,0.08661558661279599
26,MI,1329.584123339628,0.20749943670358936,0.13312363762943943,0.09994050279332223,0.11290586273490309,0.09694374524327366,0.11438237301639446,0.08059122472652577,0.062316268010565036,0.04862372183665272
27,MN,714.0147451905302,0.14898233312684017,0.14405837276603714,0.08189010159102578,0.08218313633662191,0.13635766637752839,0.12177046743922418,0.07224634713420063,0.041230896988083264,0.0982484636365102
28,MS,444.2501713864426,0.18223941305599736,0.12725330243678493,0.2647117805377931,0.0765180124546201,0.03216753316545722,0.11351915763644388,0.09168282544312965,0.02845978830381411,0.007299341718585738
29,MO,950.7300393248061,0.19808582708266967,0.14148109155270389,0.1672368130881573,0.09879987917307202,0.06729533482332442,0.09819776651644699,0.08855895087442124,0.07468001979555336,0.028386256795154784
30,MT,257.38114259017533,0.18128630096008816,0.13920585444643216,0.14428481161559073,0.15624032915053004,0.10211828574630755,0.08197134311655674,0.0967638866915935,0.050079381922579214,0.03198216987055256
31,NE,295.9094025556517,0.17323830229952708,0.15469178617223237,0.1402619561295496,0.08111044776040151,0.07026431537895515,0.11109641548513928,0.1343053730558164,0.0796331068698247,0.022600129190688583
32,NV,707.5349642159226,0.17790189693195413,0.17399798873040404,0.17054103491380368,0.08927410737956563,0.08197785923446113,0.10016051750223076,0.06020447763462698,0.05060769781883115,0.04542594704178355
33,NH,264.70182867427593,0.12145624656423418,0.19333155827129647,0.086064009371579,0.055871440624858486,0.09380505435493498,0.07854548779038299,0.10108577273258187,0.10305172767915803,0.0813917566785172
34,NJ,1162.212189890641,0.16719476629850108,0.1511118467765934,0.10572941126596605,0.08457812396645736,0.10648246756306706,0.10172411665284582,0.09168512289851456,0.06327554878531493,0.06979016199524905
35,NM,415.09744284088754,0.16458434489665058,0.2114244576839569,0.15264702727633356,0.06320845555767315,0.08764359233913645,0.08855010493976398,0.09282302707216562,0.05006479096989188,0.044202973728776004
36,NY,2314.4361487307797,0.14238669427286663,0.16838300722744146,0.13390827043937492,0.06368187507219253,0.10162042088890187,0.09906413596541859,0.0932935147872337,0.06965649104989192,0.06152645869126133
37,NC,1455.3543868417394,0.1964343735762496,0.12670139330351865,0.1412345390691998,0.09717336346777145,0.07549828157115725,0.118503196286955,0.07851314753484702,0.051286358272651725,0.05166555497856563
38,ND,112.01903649032609,0.1731382178938602,0.1718164723732826,0.09447881225115919,0.052314794826818584,0.06620735106562113,0.18895814754747245,0.14387376467049257,0.028330707879741283,0.02939452285347683
39,OH,1727.1453712960188,0.19889036871077048,0.12337886718274836,0.13372293935481924,0.09607045618142443,0.07707915904542641,0.11560648054012039,0.12264060766831589,0.05443088765854584,0.029618115116603064
40,OK,606.2032476806337,0.21993886812596733,0.09133108447790962,0.13023243707271173,0.12108949541383139,0.06791354114051001,0.12556081138734085,0.11442589417946826,0.06332564484261166,0.014153887872244565
41,OR,861.7255247612022,0.12784489160672205,0.1377755149512359,0.0850159888488105,0.12910807510079925,0.12721852258217028,0.09583285924650799,0.050398349609230675,0.09958061743553932,0.11574540307172322
