,caseid,countyfips,cd119
227,1854580626.0,20117,1
228,1855445698.0,12111,21
229,1855438932.0,08031,1
230,1855486504.0,42101,2
231,1855486408.0,13213,14
232,1855487164.0,49035,2
233,1855487036.0,06083,24
234,1855506450.0,51510,1
235,1854513112.0,36059,14
236,1855427408.0,06073,52
237,1855451338.0,48453,37
238,1855450922.0,29095,5
239,1855486336.0,39161,5
240,1855451002.0,20173,4
241,1854442348.0,27003,6
242,1855486862.0,55133,5
243,1855450368.0,06001,14
244,1854031176.0,28089,2
245,1855449542.0,26125,11
246,1855507140.0,40055,3
247,1855427066.0,17001,15
248,1855450252.0,12105,15
249,1855478554.0,36059,14
250,1855503554.0,29095,5
251,1851207408.0,48113,32
252,1855427508.0,48201,8
253,1854241538.0,48381,13
254,1855456068.0,26107,2
255,1855520734.0,39043,9
256,1855503372.0,28071,1
257,1855507548.0,17025,12
258,1855450668.0,26163,6
259,1855275220.0,26081,3
260,1855471224.0,34013,10
261,1854415776.0,32003,3
262,1855529952.0,06037,34
263,1855515026.0,32003,4
264,1855445026.0,17031,5
265,1855487260.0,12101,12
266,1855536362.0,16057,1
267,1855508204.0,24031,8
268,1855534960.0,24009,5
269,1855536268.0,44003,2
270,1855536424.0,55055,5
271,1855527952.0,06037,27
272,1855537038.0,48201,22
273,1855507430.0,12011,20
274,1855523572.0,06077,9
275,1855297898.0,50001,1
276,1855536234.0,27053,5
277,1852692936.0,39035,7
278,1855507570.0,34003,5
279,1854381356.0,32003,4
280,1855527828.0,12086,26
281,1854720456.0,55073,7
282,1855508018.0,42101,3
283,1855557090.0,51061,10
284,1855556780.0,42079,8
285,1855557232.0,17031,2
286,1855571166.0,45035,1
287,1854854800.0,32031,2
288,1854670338.0,12086,26
289,1855584174.0,36085,7
290,1854508668.0,55133,5
291,1855556788.0,06065,41
292,1855537084.0,12097,9
293,1855451376.0,13067,13
294,1855404646.0,17031,1
295,1855585212.0,51810,2
296,1855585668.0,04013,1
297,1855585428.0,04019,6
298,1855602714.0,34003,5
299,1855557614.0,04021,2
300,1855593590.0,04019,7
301,1855603084.0,17031,3
302,1855537040.0,12113,1
303,1855585518.0,50023,1
304,1855603948.0,42107,9
305,1855584616.0,32019,2
306,1854436090.0,12099,20
307,1855628966.0,34023,6
308,1855486850.0,17201,16
309,1855632208.0,36061,17
310,1854900184.0,05063,1
311,1854397008.0,01049,4
312,1855449134.0,48439,24
313,1844112144.0,41067,1
314,1854816152.0,26125,11
315,1855631950.0,12029,3
316,1855631820.0,42071,11
317,1855629624.0,17097,10
318,1855631020.0,48141,23
319,1855629076.0,55079,4
320,1855649234.0,53057,2
321,1855632480.0,55015,6
322,1855631824.0,51153,10
323,1855654054.0,32510,2
324,1855632754.0,29201,8
325,1855632018.0,06067,3
326,1855650734.0,37183,2
327,1855632712.0,41005,5
328,1855536080.0,06065,25
329,1855649456.0,42011,6
330,1855556426.0,23031,1
331,1855620920.0,41051,1
